id_avaluo,numero_finca,finalidad,fecha_inspeccion,fecha_valor,fecha_informe,provincia,canton,distrito,latitud,longitud,tipologia_inmueble,moneda,area_terreno_m2,valor_unitario_terreno_m2,area_construccion_m2,valor_unitario_construccion_m2,valor_obras_complementarias,valor_total_inmueble,perito_id
AV-2026-000018,7-806889,Leasing,2026-01-19,2026-01-23,2026-01-31,Limón,Talamanca,Cahuita,9.702877,-82.798211,Casa de habitación,CRC,939.45,1357056.61,408.73,842104.17,13927279.66,1633007000,PER-006
AV-2026-000019,1-934706-133,Actualización de garantía,2026-01-04,2026-01-05,2025-12-06,San José,Tibás,San Juan,9.963222,-84.081349,Apartamento,USD,245.65,920.86,359.77,1209.7,356.25,661779,PER-007
AV-2026-000020,1-234081,Actualización de garantía,2026-01-02,2026-01-10,2026-01-22,San José,Montes de Oca,San Pedro,9.946893,-84.051462,Casa de habitación,CRC,499.76,1083596.27,175.07,461953.4,5892959.31,628305000,PER-005
AV-2025-000021,1-165219,Actualización de garantía,2025-10-05,2025-10-20,2025-11-01,San José,Santa Ana,Santa Ana,9.945506,-84.182264,Casa de habitación,CRC,508.06,639070.91,148.39,589869.48,2743794.16,414961000,PER-002
AV-2025-000022,5-720329,Garantía hipotecaria,2025-12-27,2025-12-28,,Guanacaste,Nicoya,Nicoya,10.114278,-85.457598,Local comercial,USD,341.72,100.39,591.36,1492.06,27055.46,943705,PER-007
AV-2025-000023,1-943028-376,Seguro,2025-11-30,2025-12-10,2025-12-15,San José,Goicoechea,Guadalupe,9.937753,-84.040812,Apartamento,CRC,146.69,918827.17,203.1,746256.28,5642469.63,291990000,PER-008
AV-2025-000024,6-121610,Leasing,2025-10-19,2025-11-04,2025-11-11,Puntarenas,Garabito,Jacó,9.624452,-84.597568,Casa de habitación,CRC,272.08,1171808.96,51.63,686918.18,218662.32,354510000,PER-006
AV-2025-000025,1-893139-085,Contable,2025-07-02,2025-07-13,2025-07-21,San José,Goicoechea,Guadalupe,9.951121,-84.056629,Apartamento,USD,164.52,444.42,218.46,1547.76, ,413774,PER-001
AV-2024-000026,5-497653,Actualización de garantía,2024-10-29,2024-11-05,2024-11-08,Guanacaste,Nicoya,Nicoya,10.737573,-85.315795,Local comercial,USD,1361.49,89.8,1624.66,1068.33,6735.12,1864670,PER-002
AV-2025-000027,6-296205-353,Leasing,2025-11-06,2025-11-12,2025-11-13,Puntarenas,Quepos,Quepos,9.401519,-84.13296,Apartamento,USD,139.8,2865.76,148.96,1497.27,11029.1,634696,PER-003
AV-2025-000028,N/A,Leasing,2025-09-23,2025-09-28,2025-10-02,Alajuela,Alajuela,Alajuela,10.032359,-84.203559,Casa de habitación,CRC,683.64,657775.91,425.04,793919.35,18608563.07,805738000,PER-007
AV-2024-000029,3-641921,Compraventa,2024-04-30,2024-05-02,2024-05-08,Cartago,La Unión,Tres Ríos,9.912501,-84.003256,Casa de habitación,CRC,346.87,449945.49,103.59,285516.79,2204053.25,187853000,PER-001
AV-2024-000030,1-546344,Seguro,2024-10-19,2024-11-06,2024-11-16,San José,Santa Ana,Santa Ana,9.922914,-84.176641,Terreno baldío urbano,CRC,637.84,397023.78,0.0,0.0,0.0,253238000,PER-003
AV-2025-000031,1-300296,Leasing,2025-09-01,2025-09-01,2025-09-09,San José,Montes de Oca,San Pedro,9.946458,-84.041375,Local comercial,CRC,508.99,1010704.57,439.02,327149.72,10287804.59,668352000,PER-001
AV-2025-000032,5-888463,Actualización de garantía,2023-08-27,2023-09-08,2023-09-15,Guanacaste,Nicoya,Nicoya,10.130815,-85.442102,Local comercial,USD,1427.06,84.83,1387.24,984.59,73320.74,1560241,PER-003
AV-2025-000033,5-111696,Compraventa,2025-01-25,2025-02-04,2025-02-15,Guanacaste,Liberia,Liberia,10.617246,-85.424524,Terreno baldío urbano,USD,391.84,228.5,0.0,0.0,0.0,89535,PER-005
AV-2025-000034,5-339850,Compraventa,2025-07-18,2025-07-22,2025-08-01,Guanacaste,Nicoya,Nicoya,10.168514,-85.492893,Casa de habitación,CRC,739.47,511458.38,229.22,314457.01,944636.77,451233000,PER-008
AV-2025-000035,1-546151,Compraventa,2025-04-27,2025-04-29,2025-05-01,San José,Goicoechea,Guadalupe,9.953154,-84.060307,Casa de habitación,CRC,424.49,596491.12,296.83,379191.72,4897645.95,370658000,PER-006
AV-2026-000036,3-884652,Leasing,2026-01-08,2026-01-21,2026-02-02,Cartago,La Unión,Tres Ríos,9.897056,-83.973557,Casa de habitación,CRC,623.0,848985.58,427.93,419773.08,13446451.63,721998000,PER-002
AV-2025-000037,7-587318,Garantía hipotecaria,2025-07-11,2025-07-27,2025-07-29,Limón,Pococí,Guápiles,10.178974,-83.809323,Terreno baldío urbano,CRC,848.35,147778.59,0.0,0.0,914294.02,126282000,PER-002
AV-2026-000038,1-552566,Actualización de garantía,2026-01-08,2026-01-08,2026-01-10,San José,Puriscal,Santiago,9.879891,-84.362541,Terreno baldío rural,USD,31461.41,64.89,0.0,0.0,0.0,2041531,PER-005
AV-2025-000039,6-628672,Leasing,2025-10-22,2025-11-08,2025-11-14,Puntarenas,Puntarenas,Puntarenas,9.995606,-84.832799,Casa de habitación,CRC,622.23,550613.54,410.88,679776.89,21333947.9,643249000,PER-003
AV-2024-000040,1-513419-104,Seguro,2024-11-14,2024-11-25,2024-12-04,San José,Tibás,San Juan,9.973151,-84.077597,Condominio horizontal,USD,276.13,834.83,122.77,1206.76,1525.41,380201,PER-004
AV-2024-000041,3-563828,Garantía hipotecaria,2021-06-16,2021-06-24,2021-06-25,Cartago,Paraíso,Paraíso,9.816891,-83.847495,Terreno baldío urbano,CRC,1520.74,88311.87,0.0,0.0,0.0,134299000,PER-004
AV-2025-000042,5-751971,Leasing,2025-01-10,2025-01-20,2025-01-25,Guanacaste,Liberia,Liberia,11.514155,-85.913867,Local comercial,USD,335.45,238.7,490.41,1532.73,36612.67,868351,PER-003
AV-2025-000043,1-905975,Leasing,2025-11-29,2025-12-15,2025-12-19,San José,Escazú,Escazú,9.914809,-84.1583,Local comercial,CRC,639.78,1098052.79,1240.61,461262.56,12518268.52,1287277000,PER-006
AV-2025-000044,7-986641,Garantía hipotecaria,2021-05-06,2021-05-06,2021-05-13,Limón,Pococí,Guápiles,10.228648,-83.812813,Finca agrícola,CRC,113927.09,63893.44,4696.82,596267.81,207048250.22,10286805000,PER-001
AV-2025-000045,5-687301,Actualización de garantía,2025-05-24,2025-06-09,2025-06-16,Guanacaste,Liberia,Liberia,10.652126,-85.447045,Finca agrícola,CRC,293881.1,133924.39,0.0,0.0,0.0,39357847000,PER-003
AV-2026-000046,7-693863,Actualización de garantía,2026-01-17,2026-01-28,2026-02-05,Limón,Talamanca,Cahuita,9.771251,-82.843047,Casa de habitación,CRC,761.56,1165784.22,337.45,486563.39,121381.95,1052127000,PER-001
AV-2025-000047,1-469044,Leasing,2025-11-13,2025-11-20,2025-11-28,San José,Santa Ana,Santa Ana,9.93759,-84.198458,Casa de habitación,CRC,805.09,829281.38,373.8,802764.06,1915916.73,969635000,PER-004
AV-2025-000048,4-744533,Actualización de garantía,2025-07-09,2025-07-25,2025-08-06,Heredia,Santo Domingo,Santo Domingo,9.969849,-84.080723,Bodega o nave industrial,USD,1288.71,446.71,559.1,858.21,9616.92,1065122,PER-005
AV-2024-000049,2-190602,Actualización de garantía,2024-05-15,2024-05-27,2024-06-07,Alajuela,Alajuela,Alajuela,10.012147,-84.212133,Casa de habitación,USD,730.84,867.77,382.55,616.99,16315.34,886546,PER-009
AV-2025-000050,4-960038,Leasing,2025-10-06,2025-10-25,2025-10-26,Heredia,San Rafael,San Rafael,10.000466,-84.092279,Bodega o nave industrial,CRC,8758.27,1403281.64,1757.85,339553.74,19900707.69,12907105000,PER-009
AV-2025-000051,1-772249,Garantía hipotecaria,2025-10-13,2025-10-27,2025-10-29,San José,Desamparados,Desamparados,9.883064,-84.069235,Bodega o nave industrial,USD,12254.48,194.04,5647.71,1536.04,482162.68,11535130,PER-002
AV-2025-000052,1-512590,Actualización de garantía,2025-12-03,2025-12-20,2025-12-21,San José,Escazú,Escazú,9.933768,-84.151777,Casa de habitación,CRC,927.46,903243.84,444.58,822062.62,15034029.81,1218229000,PER-001
AV-2025-000053,3-942124,Leasing,2025-08-11,2025-08-30,2025-09-06,Cartago,Paraíso,Paraíso,9.822391,-83.87366,Terreno baldío urbano,CRC,1093.27,187242.74,0.0,0.0,5972914.13,210680000,PER-008
AV-2025-000054,3-155479,Actualización de garantía,2025-11-29,2025-12-13,2025-12-25,Cartago,La Unión,Tres Ríos,9.903855,-83.987141,Casa de habitación,CRC,212.73,597919.89,82.21,381861.77,2509371.12,161098000,PER-007
AV-2025-000055,1-636671,Actualización de garantía,2025-10-06,2025-10-14,2025-10-20,San José,Desamparados,Desamparados,9.905373,-84.054438,Casa de habitación,CRC,438.3,734782.21,266.4,791341.21,16741463.99,549610000,PER-009
AV-2025-000056,1-565517,Actualización de garantía,2025-11-05,2025-11-22,2025-11-30,San José,Desamparados,Desamparados,10.958049,-84.202183,Casa de habitación,CRC,314.91,727993.87,66.35,704344.2,189995.11,276176000,PER-006
AV-2025-000057,6-783574,Leasing,2025-05-31,2025-06-07,2025-06-19,Puntarenas,Puntarenas,Puntarenas,9.988483,-84.825748,Casa de habitación,USD,212.61,247.23,22.19,1277.96,1383.03,82305,PER-001
AV-2025-000058,1-799780,Leasing,2025-06-16,2025-06-25,2026-08-12,San José,Montes de Oca,San Pedro,9.947335,-84.046246,Local comercial,USD,1227.11,1089.29,1265.23,862.22,32502.91,2460088,PER-007
AV-2025-000059,1-938417,Garantía hipotecaria,2025-08-23,2025-09-10,2025-09-14,San José,Puriscal,Santiago,9.848845,-84.379495,Terreno baldío rural,CRC,8088.41,76259.6,0.0,0.0,0.0,616819000,PER-007
AV-2025-000060,3-841314,Leasing,2025-08-05,2025-08-16,2025-08-27,Cartago,Turrialba,Turrialba,9.905647,-83.68953,Bodega o nave industrial,USD,3449.75,173.0,1478.25,1316.35,134210.5,2676912,PER-002
AV-2025-000061,2-550243,Leasing,2025-07-27,2025-07-31,2025-08-06,Alajuela,San Ramón,San Ramón,10.063352,-84.446778,Casa de habitación,CRC,818.46,1579752.28,472.75,844812.56,21953651.06,1714303000,PER-006
AV-2024-000062,7-649615,Actualización de garantía,2024-08-22,2024-09-07,2024-09-09,Limón,Limón,Limón,9.998843,-83.04104,Casa de habitación,CRC,386.26,691210.6,69.07,395109.88,1725950.46,296003000,PER-002
AV-2025-000063,1-191008,Leasing,2025-11-17,2025-11-26,2025-11-27,San José,Curridabat,Curridabat,9.926767,-84.038795,Edificio de oficinas,USD,3632.34,818.82,15429.37,589.78,250460.56,12324627,PER-003
AV-2024-000064,4-986266,Actualización de garantía,2024-12-18,2024-12-27,2025-01-03,Heredia,Belén,San Antonio,9.976785,-84.194511,Casa de habitación,USD,419.04,644.69,203.92,1655.84,18598.56,626408,PER-002
AV-2025-000065,1-436279,Leasing,2025-02-09,2025-02-09,2025-02-11,San José,Puriscal,Santiago,9.839682,-84.287963,Casa de habitación,USD,517.36,40.44,79.32,1397.39,8597.65,140361,PER-007
AV-2026-000066,2-272775,Actualización de garantía,2026-02-16,2026-02-20,2026-02-25,Alajuela,Atenas,Atenas,-84.353584,9.994934,Casa de habitación,CRC,896.71,1959549.21,266.21,724035.18,12615902.77,1962509000,PER-003
AV-2025-000067,7-323857,Compraventa,2025-09-14,2025-09-25,2025-10-04,Limón,Pococí,Guápiles,10.176712,-83.799156,Casa de habitación,CRC,250.22,368116.46,144.95,331662.86,3616098.68,137990000,PER-003
AV-2024-000068,6-226023,Leasing,2024-02-11,2024-02-18,2024-02-27,Puntarenas,Quepos,Quepos,9.437572,-84.112784,Terreno baldío urbano,CRC,472.92,176985.01,0.0,0.0,620396.05,84320000,PER-007
AV-2025-000069,1-456091,Garantía hipotecaria,2025-12-01,2025-12-13,2025-12-19,San José,Curridabat,Curridabat,9.912369,-84.019852,Terreno baldío urbano,CRC,601.84,461683.21,0.0,0.0,0.0,277859000,PER-001
AV-2025-000070,4-770703,Seguro,2025-12-09,2025-12-21,2025-12-23,Heredia,Belén,San Antonio,9.978364,-84.170839,Terreno baldío urbano,CRC,421.57,374244.07,0.0,0.0,0.0,157770000,PER-003
AV-2025-000071,3-273956,Actualización de garantía,2024-01-08,2024-01-27,2024-02-02,Cartago,Paraíso,Paraíso,9.844969,-83.857526,Casa de habitación,CRC,607.82,479641.23,399.85,592572.32,10679739.7,539155000,PER-004
AV-2026-000072,3-203894,Garantía hipotecaria,2025-12-26,2026-01-13,2026-01-20,Cartago,La Unión,Tres Ríos,9.917024,-83.99511,Casa de habitación,USD,548.76,255.17,171.17,1297.65,12247.92,374394,PER-008
AV-2025-000073,5-238924,Compraventa,2025-09-30,2025-10-09,2025-10-16,Guanacaste,Nicoya,Nicoya,10.177074,-85.437862,Terreno baldío urbano,CRC,313.01,118355.43,0.0,0.0,0.0,37046000,PER-008
AV-2024-000074,1-557762,Garantía hipotecaria,2024-05-08,2024-05-11,2024-05-20,San José,Puriscal,Santiago,9.880651,-84.321795,Casa de habitación,CRC,437.39,365629.63,58.44,285464.15,802695.46,177408000,PER-002
AV-2025-000075,4-127064,Garantía hipotecaria,2023-06-22,2023-06-24,2023-06-27,Heredia,San Rafael,San Rafael,-84.08156,10.012435,Terreno baldío urbano,CRC,1251.11,91674.53,0.0,0.0,731300.77,115426000,PER-003
AV-2025-000076,5-514511,Garantía hipotecaria,2025-03-28,2025-04-13,2025-04-17,Guanacaste,Carrillo,Sardinal,10.541851,-85.629332,Terreno baldío urbano,CRC,1383.71,284037.21,0.0,0.0,0.0,393025000,PER-003
AV-2025-000077,1-542214-330,Actualización de garantía,2025-09-28,2025-10-13,2025-10-25,San José,Curridabat,Curridabat,9.797659,-83.421752,Apartamento,USD,86.41,558.24,46.71,1095.28,3783.27,103181,PER-008
AV-2026-000078,7-769883,Actualización de garantía,2023-01-10,2023-01-13,2023-01-14,Limón,Limón,Limón,9.981647,-83.059331,Local comercial,CRC,1111.39,405736.13,838.23,781075.93,46131083.33,1151783000,PER-007
AV-2025-000079,2-629843,Actualización de garantía,2025-10-08,2025-10-24,2025-10-30,Alajuela,Atenas,Atenas,9.966775,-84.414303,Terreno baldío rural,CRC,69444.57,69980.83,0.0,0.0,0.0,4859789000,PER-001
AV-2024-000080,2-576091,Leasing,2024-07-17,2024-07-18,2024-07-19,Alajuela,Atenas,Atenas,9.994508,-84.386826,Terreno baldío rural,CRC,16870.48,87240.4,0.0,0.0,0.0,1471787000,PER-006
AV-2024-000081,5-810104-149,Garantía hipotecaria,2024-12-25,2024-12-31,2025-01-10,Guanacaste,Santa Cruz,Tamarindo,10.327667,-85.824454,Condominio horizontal,USD,320.65,188.09,207.5,984.57,8553.54,273163,PER-007
AV-2025-000082,4-367562,Actualización de garantía,2025-04-05,2025-04-25,2025-05-05,Heredia,Heredia,Heredia,10.000949,-84.113382,Casa de habitación,CRC,740.39,785593.16,207.05,313030.37,438669.85,646897000,PER-009
AV-2024-000083,4-244981,Actualización de garantía,2024-05-12,2024-05-21,2024-06-01,Heredia,Heredia,Heredia,9.994111,-84.125318,Casa de habitación,CRC,986.02,1246705.04,426.96,291893.01,615857.15,1354519000,PER-003
AV-2025-000084,5-950683-296,Actualización de garantía,2025-12-15,2025-12-16,2025-12-27,Guanacaste,Carrillo,Sardinal,10.4993,-85.670465,Condominio horizontal,USD,421.89,432.72,118.28,1404.17,1289.86,349935,PER-002
AV-2025-000085,4-539834,Compraventa,2025-07-09,2025-07-12,2025-07-15,Heredia,San Rafael,San Rafael,10.003626,-84.097532,Casa de habitación,CRC,715.06,775824.72,452.65,541675.47,17937671.45,817888000,PER-001
AV-2024-000086,2-716120,Contable,2024-12-06,2024-12-11,2024-12-22,Alajuela,Alajuela,Alajuela,10.028017,-84.199253,Local comercial,CRC,1813.18,4825295.47,1646.05,564199.22,40135882.12,9717965000,PER-003
AV-2025-000087,2-298321,Garantía hipotecaria,2025-12-03,2025-12-05,2025-12-10,Alajuela,San Ramón,San Ramón,10.072568,-84.433721,Casa de habitación,CRC,578.07,1705204.75,104.15,495282.48,3783217.67,1041095000,PER-003
AV-2025-000088,1-356001,Leasing,2025-09-09,2025-09-17,2025-09-27,San José,Escazú,Escazú,9.921502,-84.153286,Local comercial,USD,1001.02,901.39,740.51,1345.67,18632.45,1917424,PER-004
AV-2025-000089,1-253204-143,Contable,2024-12-23,2025-01-12,2025-01-22,San José,Tibás,San Juan,9.972763,-84.083481,Condominio horizontal,USD,591.01,1071.59,445.12,1587.34,55604.74,1395482,PER-009
AV-2025-000090,1-640134,Garantía hipotecaria,2025-09-05,2025-09-07,2025-09-18,San José,Goicoechea,Guadalupe,9.957424,-84.061099,Terreno baldío urbano,USD,384.59,542.89,0.0,0.0,5862.8,214653,PER-002
AV-2024-000091,4-530093,Actualización de garantía,2024-10-22,2024-11-10,2024-11-14,Heredia,Santo Domingo,Santo Domingo,9.978029,-84.077542,Terreno baldío urbano,CRC,1497.28,240302.98,0.0,0.0,7619671.39,367421000,PER-005
AV-2025-000092,3-260841,Garantía hipotecaria,2021-02-24,2021-03-14,2021-03-22,Cartago,Cartago,Oriental,9.854533,-83.915796,Casa de habitación,CRC,632.4,889932.66,235.42,337723.96,1501370.82,643802000,PER-003
AV-2025-000093,2-203090,Leasing,2025-11-21,2025-11-24,2025-11-25,Alajuela,Grecia,Grecia,10.078359,-84.339609,Casa de habitación,CRC,712.37,570209.84,319.69,287967.85,6333911.74,504595000,PER-002
AV-2026-000094,1-528363,Actualización de garantía,2026-01-22,2026-02-10,2026-02-12,San José,Santa Ana,Santa Ana,10.314274,-83.60383,Bodega o nave industrial,USD,4795.14,980.68,2501.32,1375.25,78783.09,8221221,PER-007
AV-2026-000095,6-742849-274,Seguro,2025-12-31,2026-01-08,2026-01-09,Puntarenas,Garabito,Jacó,9.641526,-84.652216,Condominio horizontal,USD,453.4,180.11,268.13,549.91,3323.51,232433,PER-002
AV-2025-000096,4-240542-093,Garantía hipotecaria,2025-09-28,2025-10-02,2025-10-12,Heredia,Belén,San Antonio,9.990025,-84.176019,Condominio horizontal,USD,386.51,434.07,143.58,837.1,4501.51,292465,PER-001
AV-2025-000097,2-116328,Contable,2025-05-24,2025-06-11,2025-06-15,Alajuela,Atenas,Atenas,10.01615,-84.36727,Finca agrícola,CRC,40788.98,15076.53,0.0,0.0,10871895.83,625828000,PER-009
AV-2026-000098,5-903503,Leasing,2025-12-24,2026-01-07,2026-01-12,Guanacaste,Santa Cruz,Tamarindo,10.314132,-85.831671,Terreno baldío urbano,CRC,334.32,187354.28,0.0,0.0,0.0,62636000,PER-001
AV-2025-000099,1-144025,Leasing,2021-11-24,2021-12-13,2021-12-15,San José,Santa Ana,Santa Ana,9.913029,-84.190821,Casa de habitación,USD,938.32,860.29,345.71,1339.02,15988.37,1286128,PER-009
AV-2024-000100,2-413180,Contable,2024-08-15,2024-08-16,2024-08-23,Alajuela,Alajuela,Alajuela,10.015034,-84.218457,Edificio de oficinas,USD,1535.04,965.65,1641.91,531.73,8591.44,2363956,PER-006
AV-2025-000101,2-650224,Leasing,2025-08-19,2025-08-24,2025-08-27,Alajuela,Alajuela,Alajuela,10.026142,-84.230879,Casa de habitación,CRC,770.07,545266.48,285.65,251977.8,4887624.98,496758000,PER-002
AV-2025-000102,1-673886,Actualización de garantía,2023-10-17,2023-10-22,2023-10-28,San José,Santa Ana,Santa Ana,9.941645,-84.195597,Terreno baldío urbano,CRC,1227.57,153272.16,0.0,0.0,0.0,188152000,PER-003
AV-2025-000103,4-358528,Compraventa,2025-06-08,2025-06-16,2025-06-21,Heredia,Sarapiquí,Puerto Viejo,10.546112,-83.949933,Casa de habitación,CRC,744.49,1703733.7,368.98,289923.53,689335.11,1376078000,PER-004
AV-2025-000104,1-832379,Garantía hipotecaria,2022-01-18,2022-01-24,2022-02-04,San José,Tibás,San Juan,9.968815,-84.077152,Casa de habitación,CRC,207.85,1154396.3,105.55,707093.67,4068194.07,318643000,PER-008
AV-2025-000105,6-305181-311,Garantía hipotecaria,2024-01-07,2024-01-19,2024-01-26,Puntarenas,Quepos,Quepos,9.423968,-84.121688,Condominio horizontal,CRC,292.59,169471.86,168.67,265399.47,1110794.91,95461000,PER-007
AV-2026-000106,1-129003-100,Garantía hipotecaria,2026-01-22,2026-01-28,2026-01-31,San José,Tibás,San Juan,9.958925,-84.072228,Condominio horizontal,USD,337.31,592.6,209.86,1065.98,908.04,424505,PER-001
AV-2025-000107,1-534833-172,Garantía hipotecaria,2025-10-01,2025-10-17,2025-10-28,San José,Santa Ana,Santa Ana,9.92306,-84.168757,Condominio horizontal,USD,236.81,893.02,47.81,1403.9,4851.46,264020,PER-007
AV-2025-000108,1-907708-127,Leasing,2025-03-04,2025-03-19,2025-03-23,San José,Goicoechea,Guadalupe,9.940604,-84.05952,Condominio horizontal,USD,479.12,424.9,364.85,624.83,11630.16,443177,PER-005
AV-2026-000109,2-610873,Compraventa,2025-12-15,2026-01-01,2026-01-02,Alajuela,San Carlos,Quesada,10.35846,-84.400374,Casa de habitación,CRC,362.46,461318.7,206.16,308869.81,1055525.37,231942000,PER-007
AV-2025-000110,2-904811,Actualización de garantía,2025-10-30,2025-11-02,2025-11-08,Alajuela,Grecia,Grecia,10.049257,-84.285241,Terreno baldío rural,CRC,66036.19,119043.16,0.0,0.0,0.0,7861157000,PER-009
AV-2024-000111,4-341659-124,Garantía hipotecaria,2024-07-21,2024-08-05,2024-08-08,Heredia,Heredia,Heredia,9.986352,-84.127999,Apartamento,CRC,72.02,1103927.16,215.72,807585.31,4306897.71,266827000,PER-002
AV-2025-000112,1-561311-248,Leasing,2025-07-08,2025-07-20,2025-07-23,San José,Montes de Oca,San Pedro,9.919362,-84.044088,Apartamento,USD,80.17,841.53,35.63,526.82,1171.97,87408,PER-009
AV-2026-000113,1-643307,Garantía hipotecaria,2026-02-17,2026-02-26,2026-03-05,San José,Santa Ana,Santa Ana,9.941652,-84.174955,Terreno baldío urbano,CRC,1819.87,250160.94,0.0,0.0,0.0,455260000,PER-005
AV-2025-000114,1-337593-022,Garantía hipotecaria,2023-04-06,2023-04-19,2023-04-22,San José,San José,Carmen,9.931253,-84.071154,Apartamento,USD,50.77,838.7,131.88,700.51,5862.19,140826,PER-005
AV-2025-000115,1-999441-161,Leasing,2025-05-16,2025-05-30,2025-06-11,San José,Montes de Oca,San Pedro,9.933655,-84.041422,Apartamento,USD,125.12,972.97,306.34,784.3,3769.19,365770,PER-002
AV-2025-000116,4-714528,Garantía hipotecaria,2025-07-20,2025-07-23,2025-08-03,Heredia,Santo Domingo,Santo Domingo,9.98579,-84.077332,Casa de habitación,USD,424.88,290.65,53.49,,1909.35,210333,PER-006
AV-2025-000117,5-543295,Garantía hipotecaria,2025-07-14,2025-07-19,2025-07-25,Guanacaste,Santa Cruz,Tamarindo,10.333384,-85.84013,Casa de habitación,CRC,755.13,917763.81,167.43,314207.34,3689484.87,749328000,PER-004
AV-2024-000118,1-485496-267,Leasing,2024-06-30,2024-07-16,2024-07-27,San José,Escazú,Escazú,9.930624,-84.126835,Condominio horizontal,USD,313.1,551.68,201.58,963.15,9966.0,376849,PER-001
AV-2025-000119,2-929362,Actualización de garantía,2025-10-05,2025-10-12,2025-10-22,Alajuela,San Ramón,San Ramón,10.091356,-84.480523,Finca agrícola,CRC,232668.49,105345.3,0.0,0.0,0.0,24510532000,PER-004
