corte,id_credito,id_avaluo,moneda,saldo,fecha_desembolso,estado
2026-04,CR-000018,AV-2026-000019,USD,0.0,2026-01-30,CANCELADO
2026-03,CR-000019,AV-2026-000020,CRC,324179176.39,2026-02-05,VIGENTE
2026-04,CR-000019,AV-2026-000020,CRC,320867780.88,2026-01-31,VIGENTE
2026-03,CR-000020,AV-2025-000021,CRC,209736513.94,2025-12-30,VIGENTE
2026-04,CR-000020,AV-2025-000021,CRC,208530615.09,2025-12-30,VIGENTE
2026-03,CR-000021,AV-2025-000022,USD,680789.87,2026-02-09,VIGENTE
2026-04,CR-000021,AV-2025-000022,USD,675834.07,2026-02-09,VIGENTE
2026-03,CR-000023,AV-2025-000024,CRC,226167388.54,2025-12-09,VIGENTE
2026-04,CR-000023,AV-2025-000024,CRC,224653161.32,2025-12-01,VIGENTE
2026-03,CR-000025,AV-2024-000026,USD,854564.37,2024-11-25,VIGENTE
2026-04,CR-000025,AV-2024-000026,USD,848230.19,2024-12-09,VIGENTE
2026-03,CR-000026,AV-2025-000027,USD,519414.31,2025-12-18,VIGENTE
2026-04,CR-000026,AV-2025-000027,USD,514819.99,2025-11-23,VIGENTE
2026-03,CR-000027,AV-2025-000028,CRC,536947632.16,2025-10-23,VIGENTE
2026-04,CR-000027,AV-2025-000028,CRC,533754493.9,2025-11-27,VIGENTE
2026-03,CR-000030,AV-2025-000031,CRC,410900625.66,2025-11-06,VIGENTE
2026-04,CR-000030,AV-2025-000031,CRC,407643120.02,2025-10-11,VIGENTE
2026-03,CR-000031,AV-2025-000032,USD,1232591.17,2025-08-18,VIGENTE
2026-04,CR-000031,AV-2025-000032,USD,0.0,2025-07-26,CANCELADO
2026-03,CR-000035,AV-2026-000036,CRC,377619173.67,2026-02-27,VIGENTE
2026-04,CR-000035,AV-2026-000036,CRC,373605148.78,2026-03-01,VIGENTE
2026-03,CR-000036,AV-2025-000037,CRC,61902184.1,2025-08-16,VIGENTE
2026-04,CR-000036,AV-2025-000037,CRC,61477056.56,2025-09-01,VIGENTE
2026-03,CR-000037,AV-2026-000038,USD,1251802.86,2026-01-26,VIGENTE
2026-04,CR-000037,AV-2026-000038,USD,1246324.76,2026-01-25,VIGENTE
2026-03,CR-000038,AV-2025-000039,CRC,450914066.85,2025-12-28,VIGENTE
2026-04,CR-000038,AV-2025-000039,CRC,0.0,2025-12-17,CANCELADO
2026-03,CR-000040,AV-2024-000041,CRC,63766249.42,2024-12-11,VIGENTE
2026-04,CR-000040,AV-2024-000041,CRC,63051735.77,2025-01-26,VIGENTE
2026-03,CR-000041,AV-2025-000042,USD,505450.61,2025-03-23,VIGENTE
2026-04,CR-000041,AV-2025-000042,USD,503711.07,2025-02-19,VIGENTE
2026-03,CR-000042,AV-2025-000043,CRC,746315591.67,2026-02-05,VIGENTE
2026-04,CR-000042,AV-2025-000043,CRC,741258324.6,2026-01-02,VIGENTE
2026-03,CR-000043,AV-2025-000044,CRC,7929421638.7,2025-12-02,VIGENTE
2026-04,CR-000043,AV-2025-000044,CRC,7854423415.79,2025-12-24,VIGENTE
2026-03,CR-000044,AV-2025-000045,CRC,20900183754.32,2025-08-09,VIGENTE
2026-04,CR-000044,AV-2025-000045,CRC,20704391722.26,2025-06-30,VIGENTE
2026-03,CR-000045,AV-2026-000046,CRC,504673378.44,2026-04-02,VIGENTE
2026-04,CR-000045,AV-2026-000046,CRC,500828980.94,2026-03-27,VIGENTE
2026-03,CR-000046,AV-2025-000047,CRC,728130818.88,2026-01-18,VIGENTE
2026-04,CR-000046,AV-2025-000047,CRC,724870014.46,2026-01-02,VIGENTE
2026-03,CR-000047,AV-2025-000048,USD,568672.75,2025-10-04,VIGENTE
2026-04,CR-000047,AV-2025-000048,USD,562876.95,2025-08-20,VIGENTE
2026-03,CR-000048,AV-2024-000049,USD,634359.95,2024-07-08,VIGENTE
2026-04,CR-000048,AV-2024-000049,USD,627701.39,2024-07-22,VIGENTE
2026-03,CR-000049,AV-2025-000050,CRC,2944131599.68,2025-12-21,VIGENTE
2026-04,CR-000049,AV-2025-000050,CRC,2927916554.82,2025-11-11,VIGENTE
2026-03,CR-000050,AV-2025-000051,USD,5539175.92,2025-11-28,VIGENTE
2026-04,CR-000050,AV-2025-000051,USD,5519103.05,2025-11-26,VIGENTE
2026-03,CR-000051,AV-2025-000052,CRC,697123699.4,2025-12-29,VIGENTE
2026-04,CR-000051,AV-2025-000052,CRC,691023477.53,2026-01-27,VIGENTE
2026-03,CR-000052,AV-2025-000053,CRC,140816537.52,2025-10-14,VIGENTE
2026-04,CR-000052,AV-2025-000053,CRC,139599188.72,2025-09-28,VIGENTE
2026-03,CR-000053,AV-2025-000054,CRC,124368968.69,2026-01-20,VIGENTE
2026-04,CR-000053,AV-2025-000054,CRC,123646496.79,2025-12-31,VIGENTE
2026-03,CR-000054,AV-2025-000055,CRC,431572981.95,2025-12-15,VIGENTE
2026-04,CR-000054,AV-2025-000055,CRC,429092628.01,2025-10-26,VIGENTE
2026-03,CR-000055,AV-2025-000056,CRC,215240613.74,2025-12-26,VIGENTE
2026-04,CR-000055,AV-2025-000056,CRC,213485313.85,2025-12-05,VIGENTE
2026-03,CR-000056,AV-2025-000057,USD,45485.3,2025-08-03,VIGENTE
2026-04,CR-000056,AV-2025-000057,USD,45306.9,2025-07-16,VIGENTE
2026-03,CR-000057,AV-2025-000058,USD,1334896.05,2025-07-12,VIGENTE
2026-04,CR-000057,AV-2025-000058,USD,1322854.18,2025-07-29,VIGENTE
2026-03,CR-000058,AV-2025-000059,CRC,429348612.91,2025-10-01,VIGENTE
2026-04,CR-000058,AV-2025-000059,CRC,424720022.68,2025-10-04,VIGENTE
2026-03,CR-000059,AV-2025-000060,USD,1352623.5,2025-09-04,VIGENTE
2026-04,CR-000059,AV-2025-000060,USD,1342468.21,2025-10-06,VIGENTE
2026-03,CR-000060,AV-2025-000061,CRC,639908345.22,2025-09-19,VIGENTE
2026-04,CR-000060,AV-2025-000061,CRC,632466220.05,2025-09-05,VIGENTE
2026-03,CR-000061,AV-2024-000062,CRC,162123044.51,2024-09-23,VIGENTE
2026-04,CR-000061,AV-2024-000062,CRC,0.0,2024-10-18,CANCELADO
2026-03,CR-000062,AV-2025-000063,USD,9703022.96,2025-12-11,VIGENTE
2026-04,CR-000062,AV-2025-000063,USD,9619862.11,2026-01-20,VIGENTE
2026-03,CR-000063,AV-2024-000064,USD,412877.05,2025-02-16,VIGENTE
2026-04,CR-000063,AV-2024-000064,USD,411062.57,2025-01-25,VIGENTE
2026-03,CR-000064,AV-2025-000065,USD,84601.24,2025-03-07,VIGENTE
2026-04,CR-000064,AV-2025-000065,USD,84276.42,2025-03-30,VIGENTE
2026-03,CR-000065,AV-2026-000066,CRC,253666245.39,2026-03-23,VIGENTE
2026-04,CR-000065,AV-2026-000066,CRC,251482756.69,2026-03-20,VIGENTE
2026-03,CR-000067,AV-2024-000068,CRC,42811601.45,2024-12-05,VIGENTE
2026-04,CR-000067,AV-2024-000068,CRC,0.0,2024-12-01,CANCELADO
2026-03,CR-000068,AV-2025-000069,CRC,152195551.82,2026-01-05,VIGENTE
2026-04,CR-000068,AV-2025-000069,CRC,151505275.05,2025-12-30,VIGENTE
2026-03,CR-000070,AV-2025-000071,CRC,288955544.43,2026-01-23,VIGENTE
2026-04,CR-000070,AV-2025-000071,CRC,286404732.49,2026-01-20,VIGENTE
2026-03,CR-000071,AV-2026-000072,USD,270484.05,2026-03-04,VIGENTE
2026-04,CR-000071,AV-2026-000072,USD,269467.01,2026-02-23,VIGENTE
2026-03,CR-000073,AV-2024-000074,CRC,95400661.38,2024-06-26,VIGENTE
2026-04,CR-000073,AV-2024-000074,CRC,94835453.55,2024-06-06,VIGENTE
2026-03,CR-000074,AV-2025-000075,CRC,51264229.47,2025-06-07,VIGENTE
2026-04,CR-000074,AV-2025-000075,CRC,50651064.05,2025-06-12,VIGENTE
2026-03,CR-000075,AV-2025-000076,CRC,224505281.7,2025-06-16,VIGENTE
2026-04,CR-000075,AV-2025-000076,CRC,222789001.99,2025-06-12,VIGENTE
2026-03,CR-000076,AV-2025-000077,USD,79766.61,2025-12-09,VIGENTE
2026-04,CR-000076,AV-2025-000077,USD,79015.79,2025-11-04,VIGENTE
2026-03,CR-000077,AV-2026-000078,CRC,718724150.0,2026-03-20,VIGENTE
2026-04,CR-000077,AV-2026-000078,CRC,716067729.54,2026-04-03,VIGENTE
2026-03,CR-000078,AV-2025-000079,CRC,2667218107.83,2025-11-09,VIGENTE
2026-04,CR-000078,AV-2025-000079,CRC,2645479000.23,2025-11-05,VIGENTE
2026-03,CR-000079,AV-2024-000080,CRC,777091908.33,2024-08-01,VIGENTE
2026-04,CR-000079,AV-2024-000080,CRC,772809478.93,2024-09-06,VIGENTE
2026-03,CR-000080,AV-2024-000081,USD,150724.3,2025-02-01,VIGENTE
2026-04,CR-000080,AV-2024-000081,USD,149503.02,2025-03-02,VIGENTE
2026-03,CR-000081,AV-2025-000082,CRC,412216412.41,2025-06-29,VIGENTE
2026-04,CR-000081,AV-2025-000082,CRC,409643827.28,2025-06-13,VIGENTE
2026-03,CR-000082,AV-2024-000083,CRC,574519616.66,2024-06-19,VIGENTE
2026-04,CR-000082,AV-2024-000083,CRC,568206239.4,2024-07-06,VIGENTE
2026-03,CR-000083,AV-2025-000084,USD,286587.21,2026-02-21,VIGENTE
2026-04,CR-000083,AV-2025-000084,USD,285317.74,2026-02-20,VIGENTE
2026-03,CR-000086,AV-2025-000087,CRC,122457417.93,2025-12-26,VIGENTE
2026-04,CR-000086,AV-2025-000087,CRC,122032849.1,2026-01-11,VIGENTE
2026-03,CR-000087,AV-2025-000088,USD,948149.53,2025-11-16,VIGENTE
2026-04,CR-000087,AV-2025-000088,USD,939356.77,2025-11-19,VIGENTE
2026-03,CR-000089,AV-2025-000090,USD,114412.95,2025-11-07,VIGENTE
2026-04,CR-000089,AV-2025-000090,USD,113765.57,2025-10-04,VIGENTE
2026-03,CR-000090,AV-2024-000091,CRC,259787007.79,2024-12-21,VIGENTE
2026-04,CR-000090,AV-2024-000091,CRC,258351572.26,2024-12-21,VIGENTE
2026-03,CR-000091,AV-2025-000092,CRC,371677048.87,2025-02-27,VIGENTE
2026-04,CR-000091,AV-2025-000092,CRC,367336789.86,2025-03-25,VIGENTE
2026-03,CR-000092,AV-2025-000093,CRC,279687108.55,2025-12-18,VIGENTE
2026-04,CR-000092,AV-2025-000093,CRC,277997623.75,2025-12-24,VIGENTE
2026-03,CR-000093,AV-2026-000094,USD,6500674.68,2026-03-08,VIGENTE
2026-04,CR-000093,AV-2026-000094,USD,0.0,2026-03-06,CANCELADO
2026-03,CR-000095,AV-2025-000096,USD,139896.24,2025-12-08,VIGENTE
2026-04,CR-000095,AV-2025-000096,USD,138340.6,2025-11-26,VIGENTE
2026-03,CR-000097,AV-2026-000098,CRC,33608625.79,2026-01-17,VIGENTE
2026-04,CR-000097,AV-2026-000098,CRC,33210940.05,2026-02-26,VIGENTE
2026-03,CR-000098,AV-2025-000099,USD,819796.71,2025-11-11,VIGENTE
2026-04,CR-000098,AV-2025-000099,USD,0.0,2025-10-09,CANCELADO
2026-03,CR-000100,AV-2025-000101,CRC,330400162.42,2025-10-25,VIGENTE
2026-04,CR-000100,AV-2025-000101,CRC,328392239.57,2025-09-03,VIGENTE
2026-03,CR-000101,AV-2025-000102,CRC,135205844.48,2025-07-21,VIGENTE
2026-04,CR-000101,AV-2025-000102,CRC,134759493.93,2025-07-03,VIGENTE
2026-03,CR-000103,AV-2025-000104,CRC,212287354.72,2025-05-14,VIGENTE
2026-04,CR-000103,AV-2025-000104,CRC,211233999.1,2025-05-24,VIGENTE
2026-03,CR-000104,AV-2025-000105,CRC,77327485.5,2025-12-23,VIGENTE
2026-04,CR-000104,AV-2025-000105,CRC,76867030.7,2025-12-20,VIGENTE
2026-03,CR-000105,AV-2026-000106,USD,316336.68,2026-03-30,VIGENTE
2026-04,CR-000105,AV-2026-000106,USD,314930.17,2026-03-29,VIGENTE
2026-03,CR-000106,AV-2025-000107,USD,149732.49,2025-12-24,VIGENTE
2026-04,CR-000106,AV-2025-000107,USD,149140.37,2025-12-23,VIGENTE
2026-03,CR-000107,AV-2025-000108,USD,342387.74,2025-05-15,VIGENTE
2026-04,CR-000107,AV-2025-000108,USD,340644.68,2025-03-31,VIGENTE
2026-03,CR-000109,AV-2025-000110,CRC,4379355566.53,2025-11-29,VIGENTE
2026-04,CR-000109,AV-2025-000110,CRC,4339323115.47,2025-12-14,VIGENTE
2026-03,CR-000110,AV-2024-000111,CRC,153479442.65,2024-09-19,VIGENTE
2026-04,CR-000110,AV-2024-000111,CRC,152907834.94,2024-08-18,VIGENTE
2026-03,CR-000111,AV-2025-000112,USD,71718.8,2025-08-14,VIGENTE
2026-04,CR-000111,AV-2025-000112,USD,70968.66,2025-08-09,VIGENTE
2026-03,CR-000112,AV-2026-000113,CRC,344607379.9,2026-05-03,VIGENTE
2026-04,CR-000112,AV-2026-000113,CRC,340946185.46,2026-04-13,VIGENTE
2026-03,CR-000113,AV-2025-000114,USD,67539.67,2025-08-15,VIGENTE
2026-04,CR-000113,AV-2025-000114,USD,67019.53,2025-08-17,VIGENTE
2026-03,CR-000114,AV-2025-000115,USD,199144.28,2025-06-24,VIGENTE
2026-04,CR-000114,AV-2025-000115,USD,198480.4,2025-06-30,VIGENTE
2026-03,CR-000115,AV-2025-000116,USD,155379.09,2025-09-19,VIGENTE
2026-04,CR-000115,AV-2025-000116,USD,154200.45,2025-09-28,VIGENTE
2026-03,CR-000116,AV-2025-000117,CRC,340835780.58,2025-09-09,VIGENTE
2026-04,CR-000116,AV-2025-000117,CRC,339085344.12,2025-08-19,VIGENTE
2026-03,CR-000117,AV-2024-000118,USD,286879.2,2024-09-02,VIGENTE
2026-04,CR-000117,AV-2024-000118,USD,284707.65,2024-08-15,VIGENTE
2026-03,CR-000118,AV-2025-000119,CRC,18363418073.44,2025-11-05,VIGENTE
2026-04,CR-000118,AV-2025-000119,CRC,18220598489.26,2025-11-20,VIGENTE
2026-03,CR-000120,AV-2024-000121,CRC,100188207.22,2024-12-22,VIGENTE
2026-04,CR-000120,AV-2024-000121,CRC,99076997.76,2025-01-20,VIGENTE
2026-03,CR-000122,AV-2025-000123,CRC,226414657.25,2025-12-19,VIGENTE
2026-04,CR-000122,AV-2025-000123,CRC,225276369.16,2025-12-16,VIGENTE
2026-03,CR-000123,AV-2025-000124,USD,205616.93,2026-01-16,VIGENTE
2026-04,CR-000123,AV-2025-000124,USD,204465.94,2026-01-11,VIGENTE
2026-03,CR-000124,AV-2025-000125,CRC,317569211.76,2025-12-26,VIGENTE
2026-04,CR-000124,AV-2025-000125,CRC,0.0,2025-11-21,CANCELADO
2026-03,CR-000125,AV-2025-000126,CRC,1327340351.68,2025-06-06,VIGENTE
2026-04,CR-000125,AV-2025-000126,CRC,0.0,2025-04-29,CANCELADO
2026-03,CR-000126,AV-2025-000127,CRC,2164401436.0,2025-08-21,VIGENTE
2026-04,CR-000126,AV-2025-000127,CRC,2145622402.0,2025-08-13,VIGENTE
2026-03,CR-000127,AV-2025-000128,CRC,316689098.19,2025-07-23,VIGENTE
2026-04,CR-000127,AV-2025-000128,CRC,315407322.76,2025-06-21,VIGENTE
2026-03,CR-000128,AV-2025-000129,CRC,202491659.08,2025-12-29,VIGENTE
2026-04,CR-000128,AV-2025-000129,CRC,201613888.87,2026-01-13,VIGENTE
2026-03,CR-000129,AV-2025-000130,CRC,65851295.36,2025-11-05,VIGENTE
2026-04,CR-000129,AV-2025-000130,CRC,65209969.57,2025-09-29,VIGENTE
2026-03,CR-000130,AV-2024-000131,USD,5371836.98,2024-07-08,VIGENTE
2026-04,CR-000130,AV-2024-000131,USD,5345059.07,2024-07-29,VIGENTE
2026-03,CR-000131,AV-2025-000132,CRC,180428021.65,2025-10-06,VIGENTE
2026-04,CR-000131,AV-2025-000132,CRC,178597912.49,2025-10-14,VIGENTE
2026-03,CR-000132,AV-2024-000133,CRC,2278055000.96,2024-12-24,VIGENTE
2026-04,CR-000132,AV-2024-000133,CRC,2253674533.4,2024-11-26,VIGENTE
2026-03,CR-000133,AV-2024-000134,CRC,48893604.25,2024-10-05,VIGENTE
2026-04,CR-000133,AV-2024-000134,CRC,48505668.8,2024-11-03,VIGENTE
2026-03,CR-000136,AV-2026-000137,USD,522409.82,2026-02-06,VIGENTE
2026-04,CR-000136,AV-2026-000137,USD,520286.87,2026-02-09,VIGENTE
2026-03,CR-000137,AV-2025-000138,CRC,223326147.84,2026-01-07,VIGENTE
2026-04,CR-000137,AV-2025-000138,CRC,222182274.48,2026-01-02,VIGENTE
2026-03,CR-000138,AV-2024-000139,USD,187315.1,2025-02-02,VIGENTE
2026-04,CR-000138,AV-2024-000139,USD,186018.81,2024-12-30,VIGENTE
2026-03,CR-000139,AV-2025-000140,CRC,116202348.31,2026-02-11,VIGENTE
2026-04,CR-000139,AV-2025-000140,CRC,115640834.59,2026-01-09,VIGENTE
2026-03,CR-000141,AV-2025-000142,CRC,130444201.46,2025-06-18,VIGENTE
2026-04,CR-000141,AV-2025-000142,CRC,129739510.98,2025-07-09,VIGENTE
2026-03,CR-000142,AV-2025-000143,USD,683545.92,2025-08-25,VIGENTE
2026-04,CR-000142,AV-2025-000143,USD,676022.23,2025-08-16,VIGENTE
2026-03,CR-000143,AV-2026-000144,CRC,1201218545.75,2026-02-14,VIGENTE
2026-04,CR-000143,AV-2026-000144,CRC,1191793404.93,2026-03-03,VIGENTE
2026-03,CR-000144,AV-2025-000145,CRC,198369830.64,2025-12-30,VIGENTE
2026-04,CR-000144,AV-2025-000145,CRC,196010427.12,2026-01-24,VIGENTE
2026-03,CR-000146,AV-2025-000147,CRC,405357421.59,2025-05-22,VIGENTE
2026-04,CR-000146,AV-2025-000147,CRC,402207888.97,2025-04-13,VIGENTE
2026-03,CR-000149,AV-2025-000150,CRC,122446801.74,2026-01-13,VIGENTE
2026-04,CR-000149,AV-2025-000150,CRC,0.0,2026-02-28,CANCELADO
2026-03,CR-000151,AV-2025-000152,CRC,2209886275.82,2025-05-17,VIGENTE
2026-04,CR-000151,AV-2025-000152,CRC,2196934053.58,2025-05-16,VIGENTE
2026-03,CR-000152,AV-2026-000153,USD,229367.51,2026-03-23,VIGENTE
2026-04,CR-000152,AV-2026-000153,USD,226703.62,2026-04-22,VIGENTE
2026-03,CR-000155,AV-2025-000156,CRC,3875089628.89,2025-11-02,VIGENTE
2026-04,CR-000155,AV-2025-000156,CRC,3856808980.57,2025-11-06,VIGENTE
2026-03,CR-000156,AV-2025-000157,CRC,580447201.66,2025-12-03,VIGENTE
2026-04,CR-000156,AV-2025-000157,CRC,573620971.12,2026-01-12,VIGENTE
2026-03,CR-000157,AV-2025-000158,CRC,58891202.94,2025-09-02,VIGENTE
2026-04,CR-000157,AV-2025-000158,CRC,58565406.88,2025-09-14,VIGENTE
2026-03,CR-000159,AV-2024-000160,USD,191327.0,2024-08-23,VIGENTE
2026-04,CR-000159,AV-2024-000160,USD,190710.61,2024-10-03,VIGENTE
2026-03,CR-000162,AV-2025-000163,CRC,571819496.07,2025-02-25,VIGENTE
2026-04,CR-000162,AV-2025-000163,CRC,566158863.53,2025-03-03,VIGENTE
2026-03,CR-000163,AV-2026-000164,CRC,1516178203.11,2026-03-14,VIGENTE
2026-04,CR-000163,AV-2026-000164,CRC,1509842128.79,2026-03-06,VIGENTE
2026-03,CR-000164,AV-2025-000165,USD,5724406.25,2025-06-23,VIGENTE
2026-04,CR-000164,AV-2025-000165,USD,5693830.54,2025-07-18,VIGENTE
2026-03,CR-000165,AV-2024-000166,USD,4682282.47,2024-12-22,VIGENTE
2026-04,CR-000165,AV-2024-000166,USD,0.0,2025-01-14,CANCELADO
2026-03,CR-000167,AV-2024-000168,CRC,174977398.66,2024-07-08,VIGENTE
2026-04,CR-000167,AV-2024-000168,CRC,173746986.17,2024-07-22,VIGENTE
2026-03,CR-000168,AV-2025-000169,CRC,6721251978.04,2025-05-23,VIGENTE
2026-04,CR-000168,AV-2025-000169,CRC,0.0,2025-04-29,CANCELADO
2026-03,CR-000169,AV-2025-000170,CRC,143361789.08,2025-05-29,VIGENTE
2026-04,CR-000169,AV-2025-000170,CRC,142153041.93,2025-06-30,VIGENTE
2026-03,CR-000170,AV-2025-000171,CRC,397532269.77,2025-09-15,VIGENTE
2026-04,CR-000170,AV-2025-000171,CRC,392884721.62,2025-08-25,VIGENTE
2026-03,CR-000171,AV-2024-000172,CRC,499562278.35,2024-12-03,VIGENTE
2026-04,CR-000171,AV-2024-000172,CRC,496871438.39,2024-10-21,VIGENTE
2026-03,CR-000172,AV-2025-000173,USD,447671.78,2025-10-27,VIGENTE
2026-04,CR-000172,AV-2025-000173,USD,444654.1,2025-10-29,VIGENTE
2026-03,CR-000173,AV-2025-000174,CRC,114884665.43,2025-09-17,VIGENTE
2026-04,CR-000173,AV-2025-000174,CRC,113953488.41,2025-09-29,VIGENTE
2026-03,CR-000174,AV-2025-000175,CRC,427290288.53,2025-07-31,VIGENTE
2026-04,CR-000174,AV-2025-000175,CRC,426000335.15,2025-08-04,VIGENTE
2026-03,CR-000175,AV-2024-000176,USD,241755.36,2024-08-04,VIGENTE
2026-04,CR-000175,AV-2024-000176,USD,239709.09,2024-07-26,VIGENTE
2026-03,CR-000176,AV-2025-000177,USD,1408010.09,2025-06-26,VIGENTE
2026-04,CR-000176,AV-2025-000177,USD,1395516.82,2025-06-24,VIGENTE
2026-03,CR-000177,AV-2024-000178,CRC,158645979.79,2025-01-24,VIGENTE
2026-04,CR-000177,AV-2024-000178,CRC,157847797.97,2024-12-29,VIGENTE
2026-03,CR-000178,AV-2025-000179,CRC,839294436.71,2025-06-16,VIGENTE
2026-04,CR-000178,AV-2025-000179,CRC,833842690.77,2025-06-02,VIGENTE
2026-03,CR-000179,AV-2025-000180,CRC,4119211.05,2025-09-24,VIGENTE
2026-04,CR-000179,AV-2025-000180,CRC,4079111.72,2025-09-17,VIGENTE
2026-03,CR-000180,AV-2025-000181,USD,369424.57,2025-06-16,VIGENTE
2026-04,CR-000180,AV-2025-000181,USD,367071.84,2025-06-25,VIGENTE
2026-03,CR-000182,AV-2025-000183,USD,1903631.75,2026-01-15,VIGENTE
2026-04,CR-000182,AV-2025-000183,USD,1885521.74,2025-12-19,VIGENTE
2026-03,CR-000183,AV-2026-000184,CRC,233087021.27,2026-03-17,VIGENTE
2026-04,CR-000183,AV-2026-000184,CRC,231508451.34,2026-04-18,VIGENTE
2026-03,CR-000184,AV-2026-000185,CRC,144359059.87,2026-03-08,VIGENTE
2026-04,CR-000184,AV-2026-000185,CRC,143588809.54,2026-03-11,VIGENTE
2026-03,CR-000185,AV-2024-000186,CRC,104796393.39,2025-01-17,VIGENTE
2026-04,CR-000185,AV-2024-000186,CRC,103802386.86,2024-12-15,VIGENTE
2026-03,CR-000186,AV-2025-000187,USD,148410.47,2025-02-13,VIGENTE
2026-04,CR-000186,AV-2025-000187,USD,146855.38,2025-02-15,VIGENTE
2026-03,CR-000187,AV-2026-000188,CRC,459458313.86,2026-02-17,VIGENTE
2026-04,CR-000187,AV-2026-000188,CRC,455921473.85,2026-02-20,VIGENTE
2026-03,CR-000188,AV-2025-000189,USD,211744.78,2025-12-27,VIGENTE
2026-04,CR-000188,AV-2025-000189,USD,210679.01,2025-11-23,VIGENTE
2026-03,CR-000190,AV-2025-000191,CRC,276679818.38,2025-01-15,VIGENTE
2026-04,CR-000190,AV-2025-000191,CRC,273490807.91,2025-01-21,VIGENTE
2026-03,CR-000191,AV-2026-000192,CRC,451331628.79,2026-03-26,VIGENTE
2026-04,CR-000191,AV-2026-000192,CRC,448804152.17,2026-03-30,VIGENTE
2026-03,CR-000192,AV-2025-000193,USD,871049.16,2025-05-06,VIGENTE
2026-04,CR-000192,AV-2025-000193,USD,867965.07,2025-05-24,VIGENTE
2026-03,CR-000194,AV-2025-000195,USD,5523484.96,2025-06-01,VIGENTE
2026-04,CR-000194,AV-2025-000195,USD,5483044.99,2025-06-03,VIGENTE
2026-03,CR-000195,AV-2025-000196,CRC,366965952.31,2025-11-18,VIGENTE
2026-04,CR-000195,AV-2025-000196,CRC,364791324.82,2025-12-04,VIGENTE
2026-03,CR-000196,AV-2024-000197,USD,251301.51,2024-09-27,VIGENTE
2026-04,CR-000196,AV-2024-000197,USD,249419.92,2024-09-19,VIGENTE
2026-03,CR-000197,AV-2025-000198,CRC,340230603.4,2025-11-18,VIGENTE
2026-04,CR-000197,AV-2025-000198,CRC,337627262.19,2025-10-28,VIGENTE
2026-03,CR-000199,AV-2025-000200,USD,279594.64,2025-10-26,VIGENTE
2026-04,CR-000199,AV-2025-000200,USD,277640.62,2025-09-13,VIGENTE
2026-03,CR-000200,AV-2024-000201,CRC,210254974.97,2024-12-18,VIGENTE
