corte,zona,provincia,canton,moneda,avaluos,no_confiables,tasa_incumplimiento,saldo,exposicion_no_confiable
2026-03,GAM_CENTRO,Alajuela,Alajuela,CRC,65,4,32.31,31284633264.26,991514879.29
2026-03,GAM_CENTRO,Alajuela,Alajuela,USD,82,6,32.93,102473402.33,1385134.93
2026-03,GAM_CENTRO,Cartago,Cartago,CRC,81,8,28.4,32665293738.83,2212281091.67
2026-03,GAM_CENTRO,Cartago,Cartago,USD,89,9,28.09,129303886.98,838410.76
2026-03,GAM_CENTRO,Heredia,Belén,CRC,90,5,24.44,31659656644.93,385136695.59
2026-03,GAM_CENTRO,Heredia,Belén,USD,67,5,34.33,79207859.93,16332116.69
2026-03,GAM_CENTRO,Heredia,Heredia,CRC,97,8,34.02,45254776206.78,2928974057.48
2026-03,GAM_CENTRO,Heredia,Heredia,USD,73,8,38.36,80840894.20,7217938.33
2026-03,GAM_CENTRO,San José,Curridabat,CRC,76,1,30.26,26278358640.51,
2026-03,GAM_CENTRO,San José,Curridabat,USD,77,6,32.47,136718019.36,12337326.91
2026-03,GAM_CENTRO,San José,Escazú,CRC,76,6,34.21,51109352651.40,5083024551.36
2026-03,GAM_CENTRO,San José,Escazú,USD,90,7,16.67,117928917.22,7244160.92
2026-03,GAM_CENTRO,San José,Montes de Oca,CRC,78,6,38.46,35854791013.63,1647842960.53
2026-03,GAM_CENTRO,San José,Montes de Oca,USD,66,6,16.67,60126250.03,2402499.40
2026-03,GAM_CENTRO,San José,San José,CRC,88,5,31.82,44191218647.31,2302142828.59
2026-03,GAM_CENTRO,San José,San José,USD,78,3,25.64,96696829.89,288936.63
2026-03,GAM_CENTRO,San José,Santa Ana,CRC,79,4,22.78,33268912451.97,539896359.11
2026-03,GAM_CENTRO,San José,Santa Ana,USD,97,8,36.08,170852501.89,7401619.09
2026-03,GAM_CENTRO,San José,Tibás,CRC,72,4,26.39,27676471249.92,560703612.75
2026-03,GAM_CENTRO,San José,Tibás,USD,69,6,27.54,106420876.46,16005235.02
2026-03,GAM_PERIFERIA,Cartago,La Unión,CRC,105,8,24.76,40966767441.39,1116749972.18
2026-03,GAM_PERIFERIA,Cartago,La Unión,USD,61,6,31.15,39372183.62,211161.86
2026-03,GAM_PERIFERIA,Cartago,Paraíso,CRC,100,11,33.0,38503602210.54,3016435818.45
2026-03,GAM_PERIFERIA,Cartago,Paraíso,USD,47,4,27.66,26883535.68,304273.64
2026-03,GAM_PERIFERIA,Heredia,San Rafael,CRC,97,11,24.74,33773551470.22,1413312486.05
2026-03,GAM_PERIFERIA,Heredia,San Rafael,USD,47,5,34.04,41852216.37,4275763.12
2026-03,GAM_PERIFERIA,Heredia,Santo Domingo,CRC,102,4,29.41,21010147285.48,61810069.70
2026-03,GAM_PERIFERIA,Heredia,Santo Domingo,USD,58,6,43.1,46412762.52,7581268.73
2026-03,GAM_PERIFERIA,San José,Desamparados,CRC,103,6,33.98,30678784124.06,926412594.78
2026-03,GAM_PERIFERIA,San José,Desamparados,USD,63,5,30.16,86903357.17,15022522.99
2026-03,GAM_PERIFERIA,San José,Goicoechea,CRC,135,14,29.63,45016278134.51,3621405722.11
2026-03,GAM_PERIFERIA,San José,Goicoechea,USD,66,4,24.24,29586239.21,60957.63
2026-03,RURAL,Alajuela,Atenas,CRC,62,4,30.65,87263047028.64,2398901916.98
2026-03,RURAL,Alajuela,Atenas,USD,9,0,33.33,40878493.76,
2026-03,RURAL,Alajuela,Upala,CRC,57,5,29.82,60206594431.28,1808281345.02
2026-03,RURAL,Alajuela,Upala,USD,10,1,30.0,9626656.64,
2026-03,RURAL,Heredia,Sarapiquí,CRC,55,6,41.82,63939817878.64,5772828183.68
2026-03,RURAL,Heredia,Sarapiquí,USD,10,2,40.0,37746071.97,22866673.13
2026-03,RURAL,San José,Puriscal,CRC,77,4,32.47,114017453828.70,5891054551.60
2026-03,RURAL,San José,Puriscal,USD,15,2,53.33,20587950.25,1550546.52
2026-04,CIUDAD_INTERMEDIA,Alajuela,Grecia,CRC,53,4,13.21,72585520478.31,2003630313.22
2026-04,CIUDAD_INTERMEDIA,Alajuela,Grecia,USD,9,0,11.11,13334474.76,
2026-04,CIUDAD_INTERMEDIA,Alajuela,San Carlos,CRC,56,1,17.86,81179041032.56,
2026-04,CIUDAD_INTERMEDIA,Alajuela,San Carlos,USD,13,1,15.38,17292040.96,50738.94
2026-04,CIUDAD_INTERMEDIA,Alajuela,San Ramón,CRC,58,2,15.52,94158178118.13,19590026697.54
2026-04,CIUDAD_INTERMEDIA,Alajuela,San Ramón,USD,14,0,7.14,17228239.48,
2026-04,CIUDAD_INTERMEDIA,Cartago,Turrialba,CRC,53,2,11.32,82108377766.53,
2026-04,CIUDAD_INTERMEDIA,Cartago,Turrialba,USD,18,0,16.67,19203279.16,
2026-04,CIUDAD_INTERMEDIA,Guanacaste,Liberia,CRC,57,1,8.77,91127747979.09,107226959.20
2026-04,CIUDAD_INTERMEDIA,Guanacaste,Liberia,USD,13,0,23.08,12933894.80,
2026-04,CIUDAD_INTERMEDIA,Guanacaste,Nicoya,CRC,61,2,8.2,32135049049.76,171836218.44
2026-04,CIUDAD_INTERMEDIA,Guanacaste,Nicoya,USD,8,1,25.0,45636622.47,675834.07
2026-04,CIUDAD_INTERMEDIA,Limón,Limón,CRC,72,5,19.44,54854939961.57,1867494104.92
2026-04,CIUDAD_INTERMEDIA,Limón,Limón,USD,17,0,0.0,27464871.57,
2026-04,CIUDAD_INTERMEDIA,Limón,Pococí,CRC,62,0,4.84,99939859743.55,
2026-04,CIUDAD_INTERMEDIA,Limón,Pococí,USD,17,0,5.88,71988174.51,
2026-04,CIUDAD_INTERMEDIA,Puntarenas,Puntarenas,CRC,66,0,9.09,134986611177.48,
2026-04,CIUDAD_INTERMEDIA,Puntarenas,Puntarenas,USD,14,2,14.29,4471134.84,81538.03
2026-04,CIUDAD_INTERMEDIA,San José,Pérez Zeledón,CRC,49,1,18.37,52485909780.08,
2026-04,CIUDAD_INTERMEDIA,San José,Pérez Zeledón,USD,15,0,13.33,16838381.36,
2026-04,COSTA,Guanacaste,Carrillo,CRC,53,1,7.55,18947507724.26,
2026-04,COSTA,Guanacaste,Carrillo,USD,44,5,15.91,18747096.22,6895219.46
2026-04,COSTA,Guanacaste,Santa Cruz,CRC,44,1,13.64,19489415374.30,284212468.57
2026-04,COSTA,Guanacaste,Santa Cruz,USD,29,1,3.45,6848323.00,186771.05
2026-04,COSTA,Limón,Talamanca,CRC,42,3,11.9,23629864359.54,2937519061.69
2026-04,COSTA,Limón,Talamanca,USD,35,2,20.0,19802242.51,615503.05
2026-04,COSTA,Puntarenas,Garabito,CRC,50,5,16.0,18227464931.18,38177945.01
2026-04,COSTA,Puntarenas,Garabito,USD,29,1,13.79,6369344.99,167885.64
2026-04,COSTA,Puntarenas,Quepos,CRC,54,3,7.41,29128358659.97,650261853.39
2026-04,COSTA,Puntarenas,Quepos,USD,27,0,0.0,6607610.70,
2026-04,GAM_CENTRO,Alajuela,Alajuela,CRC,67,2,13.43,32873921959.48,65734928.39
2026-04,GAM_CENTRO,Alajuela,Alajuela,USD,80,6,17.5,82525577.26,6121021.27
2026-04,GAM_CENTRO,Cartago,Cartago,CRC,82,5,13.41,32697879682.12,1640822789.94
2026-04,GAM_CENTRO,Cartago,Cartago,USD,89,1,3.37,126918141.82,143555.07
2026-04,GAM_CENTRO,Heredia,Belén,CRC,89,1,8.99,32678087945.29,174111844.68
2026-04,GAM_CENTRO,Heredia,Belén,USD,70,3,15.71,99268425.75,15913796.63
2026-04,GAM_CENTRO,Heredia,Heredia,CRC,91,4,18.68,45136721495.63,152907834.94
2026-04,GAM_CENTRO,Heredia,Heredia,USD,78,2,11.54,95768882.58,1003474.56
2026-04,GAM_CENTRO,San José,Curridabat,CRC,78,1,8.97,26759328165.13,85994291.88
2026-04,GAM_CENTRO,San José,Curridabat,USD,75,3,13.33,124249632.41,10032166.18
2026-04,GAM_CENTRO,San José,Escazú,CRC,78,2,11.54,53051217810.76,125019222.90
2026-04,GAM_CENTRO,San José,Escazú,USD,87,4,9.2,114515895.05,6144034.36
2026-04,GAM_CENTRO,San José,Montes de Oca,CRC,80,1,15.0,40448152857.39,301925559.48
2026-04,GAM_CENTRO,San José,Montes de Oca,USD,67,2,7.46,64042764.98,
2026-04,GAM_CENTRO,San José,San José,CRC,86,3,11.63,43860437144.10,1627706032.58
2026-04,GAM_CENTRO,San José,San José,USD,74,2,9.46,88245785.79,468260.41
2026-04,GAM_CENTRO,San José,Santa Ana,CRC,77,1,5.19,29201478375.16,654914682.99
2026-04,GAM_CENTRO,San José,Santa Ana,USD,99,2,11.11,173425419.48,5442290.69
2026-04,GAM_CENTRO,San José,Tibás,CRC,76,0,11.84,28827524999.15,
2026-04,GAM_CENTRO,San José,Tibás,USD,66,3,13.64,92798766.17,14254005.31
2026-04,GAM_PERIFERIA,Cartago,La Unión,CRC,105,3,12.38,41958835898.56,500444836.23
2026-04,GAM_PERIFERIA,Cartago,La Unión,USD,62,2,8.06,39832990.22,72595.80
2026-04,GAM_PERIFERIA,Cartago,Paraíso,CRC,104,6,16.35,37339718528.22,1209840343.70
2026-04,GAM_PERIFERIA,Cartago,Paraíso,USD,47,1,4.26,26693785.95,
2026-04,GAM_PERIFERIA,Heredia,San Rafael,CRC,92,4,9.78,28788672723.08,505394032.85
2026-04,GAM_PERIFERIA,Heredia,San Rafael,USD,47,4,14.89,43594584.32,4243046.95
2026-04,GAM_PERIFERIA,Heredia,Santo Domingo,CRC,102,2,10.78,19943676708.30,
2026-04,GAM_PERIFERIA,Heredia,Santo Domingo,USD,63,6,23.81,47184270.89,7587078.59
2026-04,GAM_PERIFERIA,San José,Desamparados,CRC,103,4,12.62,30728675590.35,680699611.40
2026-04,GAM_PERIFERIA,San José,Desamparados,USD,62,1,9.68,76723447.62,427109.45
2026-04,GAM_PERIFERIA,San José,Goicoechea,CRC,128,3,10.94,42937485959.75,1732107656.25
2026-04,GAM_PERIFERIA,San José,Goicoechea,USD,66,3,12.12,35481313.08,449832.27
2026-04,RURAL,Alajuela,Atenas,CRC,64,0,7.81,105870576523.76,
2026-04,RURAL,Alajuela,Atenas,USD,9,0,0.0,40468859.96,
2026-04,RURAL,Alajuela,Upala,CRC,57,1,15.79,61335383425.42,
2026-04,RURAL,Alajuela,Upala,USD,11,0,0.0,9660580.08,
2026-04,RURAL,Heredia,Sarapiquí,CRC,58,3,17.24,67905503275.08,2381732783.97
2026-04,RURAL,Heredia,Sarapiquí,USD,9,2,22.22,14814615.19,203263.75
2026-04,RURAL,San José,Puriscal,CRC,76,1,15.79,105017696196.10,
2026-04,RURAL,San José,Puriscal,USD,14,2,14.29,18790912.31,57860.98
