id_avaluo,moneda,incumplia_marzo,incumple_abril,saldo_marzo,saldo_abril,avaluos_marzo,avaluos_abril,categoria
AV-2024-000484,CRC,0,0,35538145.02,35328859.94,1,1,CUMPLE
AV-2024-000487,USD,1,0,539072.68,534149.66,1,1,CORREGIDO
AV-2024-000490,USD,1,0,142228.66,141124.15,1,1,CORREGIDO
AV-2024-000505,CRC,0,0,335954673.55,332226117.82,1,1,CUMPLE
AV-2024-000506,USD,0,0,202909.47,200958.68,1,1,CUMPLE
AV-2024-000512,USD,1,0,178174.85,176980.85,1,1,CORREGIDO
AV-2024-000521,USD,0,0,3909907.79,3880874.44,1,1,CUMPLE
AV-2024-000522,USD,0,0,263450.72,261346.47,1,1,CUMPLE
AV-2024-000535,CRC,0,0,57427891.52,57005975.80,1,1,CUMPLE
AV-2024-000552,CRC,0,0,85699420.48,84739702.81,1,1,CUMPLE
AV-2024-000558,CRC,0,0,1443141332.70,1426446390.94,1,1,CUMPLE
AV-2024-000565,CRC,1,1,,,1,1,PERSISTENTE
AV-2024-000566,CRC,0,0,85445060.76,84784146.44,1,1,CUMPLE
AV-2024-000569,USD,1,0,435819.62,432505.36,1,1,CORREGIDO
AV-2024-000574,USD,0,0,,,1,1,CUMPLE
AV-2024-000576,CRC,1,0,590648925.04,587368609.16,1,1,CORREGIDO
AV-2024-000582,USD,0,0,56981.89,56709.05,1,1,CUMPLE
AV-2024-000587,CRC,0,0,,,1,1,CUMPLE
AV-2024-000593,CRC,0,0,71675952.19,71299218.58,1,1,CUMPLE
AV-2024-000595,CRC,1,0,1303452828.06,1294847357.81,1,1,CORREGIDO
AV-2024-000605,CRC,0,0,118038277.81,116971969.52,1,1,CUMPLE
AV-2024-000607,CRC,0,0,,,1,1,CUMPLE
AV-2024-000611,CRC,0,0,,,1,1,CUMPLE
AV-2024-000613,USD,1,,329728.83,,1,0,SALIO
AV-2024-000618,CRC,0,0,167355315.26,165686046.14,1,1,CUMPLE
AV-2024-000620,CRC,0,0,,,1,1,CUMPLE
AV-2024-000634,USD,0,0,189635.56,188660.77,1,1,CUMPLE
AV-2024-000636,CRC,0,0,,,1,1,CUMPLE
AV-2024-000637,CRC,0,0,462427516.23,458123349.77,1,1,CUMPLE
AV-2024-000648,CRC,0,0,92029907.12,91674966.85,1,1,CUMPLE
AV-2024-000651,USD,0,0,172834.12,171792.97,1,1,CUMPLE
AV-2024-000652,CRC,0,0,684368212.18,676310328.39,1,1,CUMPLE
AV-2024-000653,CRC,1,0,42624477.52,42333715.35,1,1,CORREGIDO
AV-2024-000656,CRC,0,0,167829819.75,166139714.91,1,1,CUMPLE
AV-2024-000659,USD,0,0,4257063.15,4215959.43,1,1,CUMPLE
AV-2024-000662,USD,1,0,314649.93,313571.40,1,1,CORREGIDO
AV-2024-000664,USD,0,0,404152.46,402038.36,1,1,CUMPLE
AV-2024-000671,CRC,0,0,2230028685.50,2213504556.20,1,1,CUMPLE
AV-2024-000682,USD,1,1,137691.30,136559.83,1,1,PERSISTENTE
AV-2024-000685,USD,0,0,174199.00,172415.67,1,1,CUMPLE
AV-2024-000689,CRC,0,0,196368916.09,195717968.42,1,1,CUMPLE
AV-2024-000693,USD,1,1,175522.61,173822.89,1,1,PERSISTENTE
AV-2024-000702,USD,0,0,985293.48,977384.38,1,1,CUMPLE
AV-2024-000711,CRC,0,0,,,1,1,CUMPLE
AV-2024-000725,USD,1,0,,,1,1,CORREGIDO
AV-2024-000733,CRC,0,0,,,1,1,CUMPLE
AV-2024-000740,CRC,0,0,,,1,1,CUMPLE
AV-2024-000742,USD,0,0,380699.94,379219.56,1,1,CUMPLE
AV-2024-000743,CRC,0,0,947654667.42,943019987.34,1,1,CUMPLE
AV-2024-000747,USD,0,0,170705.26,169356.97,1,1,CUMPLE
AV-2024-000748,CRC,0,0,,,1,1,CUMPLE
AV-2024-000752,CRC,0,0,56442198.98,56054023.99,1,1,CUMPLE
AV-2024-000757,USD,0,0,148660.85,148043.03,1,1,CUMPLE
AV-2024-000763,CRC,1,0,136804590.79,135230777.54,1,1,CORREGIDO
AV-2024-000773,CRC,0,0,369747239.32,367767838.53,1,1,CUMPLE
AV-2024-000779,CRC,0,0,262071226.67,260558517.81,1,1,CUMPLE
AV-2024-000782,USD,0,0,,,1,1,CUMPLE
AV-2024-000784,CRC,0,0,5382682727.56,5344715941.66,1,1,CUMPLE
AV-2024-000796,USD,0,0,189720.54,188102.20,1,1,CUMPLE
AV-2024-000806,CRC,0,0,610545465.11,605160473.22,1,1,CUMPLE
AV-2024-000809,USD,0,0,286297.51,284139.83,1,1,CUMPLE
AV-2024-000820,CRC,1,1,,,1,1,PERSISTENTE
AV-2024-000821,CRC,0,0,2663254570.95,2633451268.35,1,1,CUMPLE
AV-2024-000824,USD,1,1,,,1,1,PERSISTENTE
AV-2024-000827,USD,0,0,276460.75,274691.20,1,1,CUMPLE
AV-2024-000829,CRC,1,1,57758886.11,57567560.01,1,1,PERSISTENTE
AV-2024-000835,CRC,0,0,,,1,1,CUMPLE
AV-2024-000838,USD,1,0,,,1,1,CORREGIDO
AV-2024-000841,CRC,1,0,101223436.32,100877019.84,1,1,CORREGIDO
AV-2024-000842,CRC,0,0,257213026.94,255470437.45,1,1,CUMPLE
AV-2024-000847,CRC,1,0,670474845.06,663307202.65,1,1,CORREGIDO
AV-2024-000849,CRC,1,0,145087737.01,143452345.79,1,1,CORREGIDO
AV-2024-000851,CRC,1,1,,,1,1,PERSISTENTE
AV-2024-000853,CRC,1,0,39739973.10,39614717.09,1,1,CORREGIDO
AV-2024-000854,CRC,0,0,383748851.29,380537089.49,1,1,CUMPLE
AV-2024-000856,CRC,1,,198220821.81,,1,0,SALIO
AV-2024-000858,CRC,0,0,122813617.96,122372191.18,1,1,CUMPLE
AV-2024-000859,USD,1,1,14045391.61,13887224.22,1,1,PERSISTENTE
AV-2024-000869,CRC,,0,,,0,1,ENTRA_CUMPLIENDO
AV-2024-000871,CRC,0,0,577786203.51,575655351.39,1,1,CUMPLE
AV-2024-000872,CRC,0,0,10690636.93,10629969.65,1,1,CUMPLE
AV-2024-000873,CRC,0,0,50159851.62,49668224.01,1,1,CUMPLE
AV-2024-000875,CRC,1,1,26191234.41,25912883.04,1,1,PERSISTENTE
AV-2024-000877,CRC,0,0,127488740.85,127063139.35,1,1,CUMPLE
AV-2024-000879,CRC,0,0,,,1,1,CUMPLE
AV-2024-000884,CRC,0,0,,,1,1,CUMPLE
AV-2024-000889,CRC,0,0,49042457.06,48629917.08,1,1,CUMPLE
AV-2024-000891,CRC,0,0,428170078.18,424918593.67,1,1,CUMPLE
AV-2024-000892,CRC,1,0,7976872.51,7921148.19,1,1,CORREGIDO
AV-2024-000897,CRC,0,0,440162176.26,437514147.41,1,1,CUMPLE
AV-2024-000903,CRC,0,1,386208680.29,381972888.74,1,1,NUEVO
AV-2024-000906,USD,1,,460309.13,,1,0,SALIO
AV-2024-000913,USD,0,0,144117.55,142731.24,1,1,CUMPLE
AV-2024-000914,CRC,0,0,134741239.31,133632800.63,1,1,CUMPLE
AV-2024-000915,USD,1,1,129847.03,128799.64,1,1,PERSISTENTE
AV-2024-000916,CRC,0,0,3328625129.41,3316259562.40,1,1,CUMPLE
AV-2024-000922,CRC,1,1,,,1,1,PERSISTENTE
AV-2024-000923,CRC,1,0,,,1,1,CORREGIDO
AV-2024-000924,USD,1,0,2261770.36,2243280.86,1,1,CORREGIDO
AV-2024-000932,CRC,0,0,,,1,1,CUMPLE
AV-2024-000934,CRC,0,0,,,1,1,CUMPLE
AV-2024-000936,CRC,0,0,102411771.41,101916167.77,1,1,CUMPLE
AV-2024-000938,CRC,0,0,176396424.74,174683724.07,1,1,CUMPLE
AV-2024-000941,USD,0,0,264100.55,262145.34,1,1,CUMPLE
AV-2024-000942,CRC,1,1,2185653669.86,2176359777.37,1,1,PERSISTENTE
AV-2024-000949,CRC,0,0,252304381.99,250166767.97,1,1,CUMPLE
AV-2024-000951,CRC,1,0,,,1,1,CORREGIDO
AV-2024-000953,USD,1,0,,2592364.43,2,1,CORREGIDO
AV-2024-000959,CRC,0,0,87717208.55,86742384.21,1,1,CUMPLE
AV-2024-000968,CRC,0,0,147878152.34,147057151.30,1,1,CUMPLE
AV-2024-000972,CRC,0,0,25472388.36,25212219.68,1,1,CUMPLE
AV-2024-000973,USD,0,0,1622691.43,1613374.39,1,1,CUMPLE
AV-2024-000981,USD,0,0,7152417.67,7072195.76,1,1,CUMPLE
AV-2024-000983,USD,0,0,105950.98,105367.64,1,1,CUMPLE
AV-2024-000985,CRC,1,0,91924608.46,91648526.73,1,1,CORREGIDO
AV-2024-000987,CRC,0,0,6710803029.28,6665340742.86,1,1,CUMPLE
AV-2024-000988,CRC,0,0,1062612493.07,1058219646.96,1,1,CUMPLE
AV-2024-000989,USD,0,0,310707.08,309084.95,1,1,CUMPLE
AV-2024-000991,CRC,0,0,189668060.00,188649791.52,1,1,CUMPLE
AV-2024-000993,USD,0,0,227830.29,227003.71,1,1,CUMPLE
AV-2024-000996,USD,0,0,348822.61,347505.08,1,1,CUMPLE
AV-2024-001000,CRC,0,0,150342762.81,148809423.40,1,1,CUMPLE
AV-2024-001005,CRC,0,0,168303501.14,166675934.51,1,1,CUMPLE
AV-2024-001009,USD,1,,516944.98,,1,0,SALIO
AV-2024-001017,USD,0,0,322925.37,320033.90,1,1,CUMPLE
AV-2024-001018,CRC,0,0,655711017.55,652655004.22,1,1,CUMPLE
AV-2024-001021,USD,0,0,32877.41,32583.99,1,1,CUMPLE
AV-2024-001025,USD,0,0,6544980.20,6485929.04,1,1,CUMPLE
AV-2024-001026,CRC,0,0,7950819573.80,7868183593.86,1,1,CUMPLE
AV-2024-001037,CRC,1,,232087280.11,,1,0,SALIO
AV-2024-001040,USD,0,0,,,1,1,CUMPLE
AV-2024-001041,CRC,0,0,379291570.52,375317305.18,1,1,CUMPLE
AV-2024-001046,CRC,0,1,333285320.51,330357246.89,1,1,NUEVO
AV-2024-001054,USD,1,1,8707882.83,8667255.75,1,1,PERSISTENTE
AV-2024-001057,CRC,0,0,1335924720.66,1322844677.30,1,1,CUMPLE
AV-2024-001060,USD,0,0,252681.98,250202.79,1,1,CUMPLE
AV-2024-001061,CRC,0,0,279645331.14,276308777.37,1,1,CUMPLE
AV-2024-001064,USD,0,0,393721.81,389245.56,1,1,CUMPLE
AV-2024-001066,CRC,0,0,195109170.04,193863519.70,1,1,CUMPLE
AV-2024-001067,USD,1,0,145834.97,145050.45,1,1,CORREGIDO
AV-2024-001074,USD,0,0,320604.89,317638.74,1,1,CUMPLE
AV-2024-001078,USD,1,1,224726.86,223414.58,1,1,PERSISTENTE
AV-2024-001081,USD,0,0,245395.45,242837.13,1,1,CUMPLE
AV-2024-001082,CRC,0,0,380022974.63,376029316.02,1,1,CUMPLE
AV-2024-001090,USD,0,0,216999.16,216316.14,1,1,CUMPLE
AV-2024-001092,CRC,0,0,267121421.24,263995454.65,1,1,CUMPLE
AV-2024-001105,USD,0,0,39470.66,39106.88,1,1,CUMPLE
AV-2024-001107,CRC,0,0,84607769.99,83886212.62,1,1,CUMPLE
AV-2024-001114,USD,0,0,3018815.87,3007441.45,1,1,CUMPLE
AV-2024-001128,USD,1,0,374876.23,370490.52,1,1,CORREGIDO
AV-2024-001140,USD,0,0,501973.32,496192.30,1,1,CUMPLE
AV-2024-001142,CRC,0,0,128710552.33,127186056.65,1,1,CUMPLE
AV-2024-001147,CRC,0,0,244196341.93,243107863.34,1,1,CUMPLE
AV-2024-001151,CRC,0,0,115369782.35,114103185.84,1,1,CUMPLE
AV-2024-001158,CRC,0,0,489894719.11,484244991.97,1,1,CUMPLE
AV-2024-001162,CRC,0,0,296946450.69,294074655.11,1,1,CUMPLE
AV-2024-001163,CRC,0,1,,,1,1,NUEVO
AV-2024-001164,USD,0,0,417782.54,412920.97,1,1,CUMPLE
AV-2024-001169,USD,0,0,132062.63,130794.26,1,1,CUMPLE
AV-2024-001171,USD,1,,551054.31,,1,0,SALIO
AV-2024-001172,CRC,1,1,191676480.74,190777164.95,1,1,PERSISTENTE
AV-2024-001175,USD,0,0,221980.24,219983.02,1,1,CUMPLE
AV-2024-001192,CRC,0,0,,,1,1,CUMPLE
AV-2024-001193,CRC,0,0,314868604.91,312436962.86,1,1,CUMPLE
AV-2024-001197,CRC,0,0,,,1,1,CUMPLE
AV-2024-001200,USD,0,,2535301.81,,1,0,SALIO_CUMPLIENDO
AV-2024-001202,CRC,0,0,4072890008.48,4044267124.24,1,1,CUMPLE
AV-2024-001208,USD,0,0,7762816.36,7726591.94,1,1,CUMPLE
AV-2024-001209,CRC,1,1,1808978081.96,1799961633.95,1,1,PERSISTENTE
AV-2024-001215,CRC,0,0,38759126.22,38367962.29,1,1,CUMPLE
AV-2024-001228,CRC,0,0,326695295.96,322834198.26,1,1,CUMPLE
AV-2024-001237,USD,1,0,4685459.06,4645370.05,1,1,CORREGIDO
AV-2024-001244,CRC,0,0,343737098.15,340966155.60,1,1,CUMPLE
AV-2024-001246,CRC,1,0,1968514188.52,1954673717.94,1,1,CORREGIDO
AV-2024-001250,USD,1,0,,,1,1,CORREGIDO
AV-2024-001260,CRC,1,0,63123608.20,62827275.11,1,1,CORREGIDO
AV-2024-001264,CRC,0,0,299174729.81,297571354.88,1,1,CUMPLE
AV-2024-001269,USD,0,0,349685.84,347245.53,1,1,CUMPLE
AV-2024-001270,USD,0,0,147003.93,146108.88,1,1,CUMPLE
AV-2024-001275,CRC,0,0,1702328998.54,1685601924.85,1,1,CUMPLE
AV-2024-001299,USD,0,0,233370.03,231579.76,1,1,CUMPLE
AV-2024-001311,CRC,0,0,382340886.90,380292442.96,1,1,CUMPLE
AV-2024-001315,CRC,1,0,,,1,1,CORREGIDO
AV-2024-001326,USD,0,0,2476159.58,2447837.07,1,1,CUMPLE
AV-2024-001335,CRC,0,0,798328973.09,793625099.68,1,1,CUMPLE
AV-2024-001339,CRC,0,0,97904178.82,97333249.99,1,1,CUMPLE
AV-2024-001351,USD,1,0,290061.89,287334.83,1,1,CORREGIDO
AV-2024-001354,CRC,0,0,130725948.31,129417708.28,1,1,CUMPLE
AV-2024-001356,CRC,0,0,126336392.14,125485968.64,1,1,CUMPLE
AV-2024-001358,USD,1,0,47533.94,47282.10,1,1,CORREGIDO
AV-2024-001360,USD,0,0,232589.22,230991.49,1,1,CUMPLE
AV-2024-001379,USD,0,0,186929.87,186045.50,1,1,CUMPLE
AV-2024-001380,CRC,0,0,193073882.04,190811052.57,1,1,CUMPLE
AV-2024-001381,CRC,0,0,457139377.57,451905510.44,1,1,CUMPLE
AV-2024-001382,USD,1,0,,,1,1,CORREGIDO
AV-2024-001390,CRC,0,0,87493948.44,86799574.37,1,1,CUMPLE
AV-2024-001394,USD,0,0,,,1,1,CUMPLE
AV-2024-001398,USD,0,0,842727.45,837402.38,1,1,CUMPLE
AV-2024-001399,CRC,1,0,372504012.61,369305482.78,1,1,CORREGIDO
AV-2024-001401,USD,1,1,215841.74,214392.13,1,1,PERSISTENTE
AV-2024-001403,CRC,0,0,34130937.89,33736874.45,1,1,CUMPLE
AV-2024-001407,CRC,0,0,,,1,1,CUMPLE
AV-2024-001410,USD,0,,57405.12,,1,0,SALIO_CUMPLIENDO
AV-2024-001416,CRC,0,0,10978774331.70,10863856203.45,1,1,CUMPLE
AV-2024-001423,CRC,0,0,84203808.23,83460028.48,1,1,CUMPLE
AV-2024-001426,CRC,0,0,1053160485.06,1046002012.78,1,1,CUMPLE
AV-2024-001455,CRC,1,0,64574536.83,64274927.86,1,1,CORREGIDO
AV-2024-001456,CRC,1,1,215811578.28,215065675.70,1,1,PERSISTENTE
AV-2024-001464,USD,0,0,503099.56,499105.70,1,1,CUMPLE
AV-2024-001471,CRC,1,,,,1,0,SALIO
AV-2024-001477,CRC,0,0,37676618.33,37506440.20,1,1,CUMPLE
AV-2024-001489,CRC,0,0,,,1,1,CUMPLE
AV-2024-001492,USD,0,0,112619.20,111275.93,1,1,CUMPLE
AV-2024-001498,CRC,0,0,150025023.47,149555162.90,1,1,CUMPLE
AV-2024-001502,USD,0,0,299217.23,296433.47,1,1,CUMPLE
AV-2024-001503,CRC,0,0,20450652.97,20291527.80,1,1,CUMPLE
AV-2024-001506,CRC,0,0,94475073.31,94048049.83,1,1,CUMPLE
AV-2024-001509,CRC,0,0,635033722.91,631364917.18,1,1,CUMPLE
AV-2024-001515,CRC,1,0,,,1,1,CORREGIDO
AV-2024-001516,USD,0,0,,,1,1,CUMPLE
AV-2024-001527,CRC,1,0,176219798.80,174881348.84,1,1,CORREGIDO
AV-2024-001528,USD,1,0,,,1,1,CORREGIDO
AV-2024-001531,CRC,0,0,2418580184.78,2406244265.03,1,1,CUMPLE
AV-2024-001532,CRC,0,0,2617417311.56,2598471241.70,1,1,CUMPLE
AV-2024-001534,USD,0,0,132546.39,132050.72,1,1,CUMPLE
AV-2024-001538,USD,1,1,514956.13,513280.16,1,1,PERSISTENTE
AV-2024-001540,CRC,0,0,38917457.55,38760293.35,1,1,CUMPLE
AV-2024-001550,CRC,0,0,,,1,1,CUMPLE
AV-2024-001552,CRC,0,0,165078162.01,163801641.75,1,1,CUMPLE
AV-2024-001556,CRC,0,0,,,1,1,CUMPLE
AV-2024-001562,USD,0,0,224048.57,223046.05,1,1,CUMPLE
AV-2024-001565,USD,0,0,165518.56,164390.91,1,1,CUMPLE
AV-2024-001568,USD,1,0,,,1,1,CORREGIDO
AV-2024-001571,USD,0,,181819.86,,1,0,SALIO_CUMPLIENDO
AV-2024-001572,CRC,1,0,,,1,1,CORREGIDO
AV-2024-001573,CRC,0,0,841505115.87,834400597.61,1,1,CUMPLE
AV-2024-001574,CRC,0,0,245820623.09,243163558.20,1,1,CUMPLE
AV-2024-001577,USD,0,0,459539.54,455017.40,1,1,CUMPLE
AV-2024-001583,CRC,0,0,372595155.35,368759834.38,1,1,CUMPLE
AV-2024-001586,CRC,0,0,951398817.30,942089350.49,1,1,CUMPLE
AV-2024-001587,CRC,1,1,166745102.19,165161968.79,1,1,PERSISTENTE
AV-2024-001597,USD,0,0,1814101.54,1798796.91,1,1,CUMPLE
AV-2024-001598,CRC,0,0,68460090.68,67987003.57,1,1,CUMPLE
AV-2024-001599,CRC,1,0,196394424.04,195703556.58,1,1,CORREGIDO
AV-2024-001603,USD,1,1,5334377.56,5293150.32,1,1,PERSISTENTE
AV-2024-001606,CRC,0,0,4076219463.50,4044164150.19,1,1,CUMPLE
AV-2024-001607,CRC,1,0,601359122.09,597196089.80,1,1,CORREGIDO
AV-2024-001608,USD,0,0,79565.43,78874.24,1,1,CUMPLE
AV-2024-001609,CRC,0,0,,,1,1,CUMPLE
AV-2024-001610,CRC,0,0,203898507.35,202122814.80,1,1,CUMPLE
AV-2024-001614,CRC,0,0,63758938.66,63177210.33,1,1,CUMPLE
AV-2024-001627,CRC,0,0,,,1,1,CUMPLE
AV-2024-001628,CRC,0,0,2275002813.43,2265064059.79,1,1,CUMPLE
AV-2024-001631,USD,0,0,2617741.06,2601843.80,1,1,CUMPLE
AV-2024-001645,USD,1,1,310137.89,307348.03,1,1,PERSISTENTE
AV-2024-001650,CRC,0,0,481875125.83,479426846.41,1,1,CUMPLE
AV-2024-001651,CRC,1,0,123184421.94,121982381.03,1,1,CORREGIDO
AV-2024-001658,USD,,0,,313709.27,0,1,ENTRA_CUMPLIENDO
AV-2024-001659,CRC,0,0,320195080.70,316496717.10,1,1,CUMPLE
AV-2024-001661,USD,1,0,445240.09,441153.48,1,1,CORREGIDO
AV-2024-001663,USD,1,0,60180.75,59661.91,1,1,CORREGIDO
AV-2024-001672,USD,0,0,161971.35,161267.37,1,1,CUMPLE
AV-2024-001674,CRC,0,0,32099187.60,31754136.57,1,1,CUMPLE
AV-2024-001675,CRC,0,0,2444894331.31,2436463377.89,1,1,CUMPLE
AV-2024-001686,CRC,0,0,856789074.31,850988219.98,1,1,CUMPLE
AV-2024-001688,USD,0,0,143472.69,142561.66,1,1,CUMPLE
AV-2024-001699,CRC,0,0,,,1,1,CUMPLE
AV-2024-001707,USD,1,0,153030.52,151443.62,1,1,CORREGIDO
AV-2024-001714,CRC,0,0,154186809.83,152592073.11,1,1,CUMPLE
AV-2024-001716,CRC,1,0,216332795.71,215076209.98,1,1,CORREGIDO
AV-2024-001721,CRC,1,0,,,1,1,CORREGIDO
AV-2024-001722,CRC,1,1,359880323.06,356496267.36,1,1,PERSISTENTE
AV-2024-001727,USD,0,0,996607.73,991511.78,1,1,CUMPLE
AV-2024-001738,USD,1,0,92067.45,91604.43,1,1,CORREGIDO
AV-2024-001748,USD,0,0,1057139.09,1052499.35,1,1,CUMPLE
AV-2024-001749,USD,0,0,161226.57,160377.99,1,1,CUMPLE
AV-2024-001750,USD,1,0,215009.40,213463.17,1,1,CORREGIDO
AV-2024-001751,CRC,0,0,121860556.16,121454929.38,1,1,CUMPLE
AV-2024-001763,CRC,0,0,,,1,1,CUMPLE
AV-2024-001767,USD,0,0,573809.20,567916.50,1,1,CUMPLE
AV-2024-001774,USD,1,0,182503.12,181524.25,1,1,CORREGIDO
AV-2024-001783,USD,0,0,1332368.09,1327198.05,1,1,CUMPLE
