id_avaluo_marzo,id_avaluo_abril,categoria
AV-2024-000074,AV-2024-000074,CUMPLE
AV-2025-000075,AV-2025-000075,PERSISTENTE
AV-2025-000076,AV-2025-000076,CUMPLE
AV-2025-000077,AV-2025-000077,CORREGIDO
AV-2026-000078,AV-2026-000078,CORREGIDO
AV-2025-000079,AV-2025-000079,CUMPLE
AV-2024-000080,AV-2024-000080,CUMPLE
AV-2024-000081,AV-2024-000081,CUMPLE
AV-2025-000082,AV-2025-000082,NUEVO
AV-2024-000083,AV-2024-000083,CUMPLE
AV-2025-000084,AV-2025-000084,CUMPLE
AV-2025-000085,AV-2025-000085,CUMPLE
AV-2024-000086,AV-2024-000086,PERSISTENTE
AV-2025-000087,AV-2025-000087,CORREGIDO
AV-2025-000088,AV-2025-000088,CUMPLE
AV-2025-000089,AV-2025-000089,CUMPLE
AV-2025-000090,AV-2025-000090,CUMPLE
AV-2024-000091,AV-2024-000091,CUMPLE
AV-2025-000092,AV-2025-000092,PERSISTENTE
AV-2025-000093,AV-2025-000093,CUMPLE
AV-2026-000094,,SALIO
AV-2026-000095,AV-2026-000095,CUMPLE
AV-2025-000096,AV-2025-000096,CUMPLE
AV-2025-000097,AV-2025-000097,CUMPLE
AV-2026-000098,AV-2026-000098,CUMPLE
AV-2025-000099,,SALIO
AV-2024-000100,AV-2024-000100,CUMPLE
AV-2025-000101,AV-2025-000101,CUMPLE
AV-2025-000102,AV-2025-000102,CORREGIDO
AV-2025-000103,AV-2025-000103,CORREGIDO
AV-2025-000104,AV-2025-000104,CORREGIDO
AV-2025-000105,AV-2025-000105,CORREGIDO
AV-2026-000106,AV-2026-000106,CUMPLE
AV-2025-000107,AV-2025-000107,PERSISTENTE
AV-2025-000108,AV-2025-000108,CUMPLE
AV-2026-000109,AV-2026-000109,CUMPLE
AV-2025-000110,AV-2025-000110,CUMPLE
AV-2024-000111,AV-2024-000111,PERSISTENTE
AV-2025-000112,AV-2025-000112,CUMPLE
AV-2026-000113,AV-2026-000113,CUMPLE
AV-2025-000114,AV-2025-000114,PERSISTENTE
AV-2025-000115,AV-2025-000115,CUMPLE
AV-2025-000116,AV-2025-000116,PERSISTENTE
AV-2025-000117,AV-2025-000117,CUMPLE
AV-2024-000118,AV-2024-000118,CUMPLE
AV-2025-000119,AV-2025-000119,NUEVO
AV-2025-000120,AV-2025-000120,CUMPLE
AV-2024-000121,AV-2024-000121,PERSISTENTE
AV-2025-000122,AV-2025-000122,CUMPLE
AV-2025-000123,AV-2025-000123,CUMPLE
AV-2025-000124,AV-2025-000124,CORREGIDO
AV-2025-000125,,SALIO_CUMPLIENDO
AV-2025-000126,,SALIO
AV-2025-000127,AV-2025-000127,CUMPLE
AV-2025-000128,AV-2025-000128,NUEVO
AV-2025-000129,AV-2025-000129,CUMPLE
AV-2025-000130,AV-2025-000130,CUMPLE
AV-2024-000131,AV-2024-000131,CUMPLE
AV-2025-000132,AV-2025-000132,CUMPLE
AV-2024-000133,AV-2024-000133,CUMPLE
AV-2024-000134,AV-2024-000134,CUMPLE
AV-2026-000135,AV-2026-000135,CUMPLE
AV-2025-000136,AV-2025-000136,PERSISTENTE
AV-2026-000137,AV-2026-000137,CUMPLE
AV-2025-000138,AV-2025-000138,CORREGIDO
AV-2024-000139,AV-2024-000139,CUMPLE
AV-2025-000140,AV-2025-000140,CORREGIDO
AV-2025-000141,AV-2025-000141,CUMPLE
AV-2025-000142,AV-2025-000142,CORREGIDO
AV-2025-000143,AV-2025-000143,CORREGIDO
AV-2026-000144,AV-2026-000144,CUMPLE
AV-2025-000145,AV-2025-000145,CUMPLE
AV-2025-000146,AV-2025-000146,CORREGIDO
AV-2025-000147,AV-2025-000147,CUMPLE
AV-2025-000148,AV-2025-000148,CUMPLE
AV-2024-000149,AV-2024-000149,CUMPLE
AV-2025-000150,,SALIO
AV-2024-000151,AV-2024-000151,CUMPLE
AV-2025-000152,AV-2025-000152,CUMPLE
AV-2026-000153,AV-2026-000153,CUMPLE
AV-2024-000154,AV-2024-000154,CORREGIDO
AV-2025-000155,AV-2025-000155,CUMPLE
AV-2025-000156,AV-2025-000156,CUMPLE
AV-2025-000157,AV-2025-000157,PERSISTENTE
AV-2025-000158,AV-2025-000158,CUMPLE
AV-2025-000159,AV-2025-000159,CUMPLE
AV-2024-000160,AV-2024-000160,CUMPLE
AV-2026-000161,AV-2026-000161,PERSISTENTE
AV-2025-000162,AV-2025-000162,CUMPLE
AV-2025-000163,AV-2025-000163,CUMPLE
AV-2026-000164,AV-2026-000164,CUMPLE
AV-2025-000165,AV-2025-000165,CORREGIDO
AV-2024-000166,,SALIO
AV-2025-000167,AV-2025-000167,CORREGIDO
AV-2024-000168,AV-2024-000168,CUMPLE
AV-2025-000169,,SALIO
AV-2025-000170,AV-2025-000170,CUMPLE
AV-2025-000171,AV-2025-000171,CUMPLE
AV-2024-000172,AV-2024-000172,CUMPLE
AV-2025-000173,AV-2025-000173,CUMPLE
AV-2025-000174,AV-2025-000174,PERSISTENTE
AV-2025-000175,AV-2025-000175,CUMPLE
AV-2024-000176,AV-2024-000176,CUMPLE
AV-2025-000177,AV-2025-000177,CUMPLE
AV-2024-000178,AV-2024-000178,CUMPLE
AV-2025-000179,AV-2025-000179,CUMPLE
AV-2025-000180,AV-2025-000180,CUMPLE
AV-2025-000181,AV-2025-000181,CUMPLE
AV-2025-000182,AV-2025-000182,CUMPLE
AV-2025-000183,AV-2025-000183,CUMPLE
AV-2026-000184,AV-2026-000184,CORREGIDO
AV-2026-000185,AV-2026-000185,CORREGIDO
AV-2024-000186,AV-2024-000186,CUMPLE
AV-2025-001190,AV-2025-000187,CORREGIDO
AV-2026-000188,AV-2026-000188,CUMPLE
AV-2025-000189,AV-2025-000189,CUMPLE
AV-2025-000190,AV-2025-000190,CUMPLE
AV-2025-000191,AV-2025-000191,CUMPLE
AV-2026-000192,AV-2026-000192,CORREGIDO
AV-2025-000193,AV-2025-000193,CUMPLE
AV-2025-000194,AV-2025-000194,CUMPLE
AV-2025-000195,AV-2025-000195,CUMPLE
AV-2025-000196,AV-2025-000196,CUMPLE
AV-2024-000197,AV-2024-000197,CUMPLE
AV-2025-000198,AV-2025-000198,CUMPLE
AV-2025-000199,AV-2025-000199,CUMPLE
AV-2025-000200,AV-2025-000200,CUMPLE
AV-2024-000201,AV-2024-000201,CUMPLE
AV-2025-000202,AV-2025-000202,CUMPLE
AV-2025-000203,AV-2025-000203,CUMPLE
AV-2025-000204,AV-2025-000204,CUMPLE
AV-2025-000205,AV-2025-000205,CUMPLE
AV-2025-000206,AV-2025-000206,CUMPLE
AV-2025-000207,AV-2025-000207,CORREGIDO
AV-2025-000208,AV-2025-000208,CUMPLE
AV-2026-000209,AV-2026-000209,CUMPLE
AV-2025-000210,AV-2025-000210,CORREGIDO
AV-2025-000211,AV-2025-000211,NUEVO
AV-2026-000212,AV-2026-000212,CUMPLE
AV-2025-000213,AV-2025-000213,CUMPLE
AV-2025-000214,AV-2025-000214,CUMPLE
AV-2025-000215,AV-2025-000215,CORREGIDO
AV-2025-000216,AV-2025-000216,PERSISTENTE
AV-2026-000217,AV-2026-000217,CUMPLE
AV-2024-000218,AV-2024-000218,CUMPLE
AV-2025-000219,AV-2025-000219,PERSISTENTE
AV-2025-000220,AV-2025-000220,PERSISTENTE
AV-2025-000221,AV-2025-000221,CUMPLE
AV-2025-000222,AV-2025-000222,CUMPLE
AV-2025-000223,AV-2025-000223,CUMPLE
AV-2025-000224,AV-2025-000224,CUMPLE
AV-2024-000349,AV-2025-000225,CORREGIDO
AV-2025-000226,AV-2025-000226,CUMPLE
AV-2025-000227,AV-2025-000227,CUMPLE
AV-2025-000228,AV-2025-000228,CUMPLE
AV-2025-000229,AV-2025-000229,CUMPLE
AV-2025-000230,AV-2025-000230,CUMPLE
AV-2026-000231,AV-2026-000231,CORREGIDO
AV-2025-000232,AV-2025-000232,CUMPLE
AV-2025-000233,AV-2025-000233,CUMPLE
AV-2026-000234,AV-2026-000234,CUMPLE
AV-2025-000235,AV-2025-000235,CUMPLE
AV-2025-000236,AV-2025-000236,CUMPLE
AV-2025-000237,AV-2025-000237,CUMPLE
AV-2025-000238,AV-2025-000238,CUMPLE
AV-2025-000239,AV-2025-000239,CUMPLE
AV-2025-000240,AV-2025-000240,CUMPLE
AV-2026-000241,AV-2026-000241,PERSISTENTE
AV-2024-000242,AV-2024-000242,PERSISTENTE
AV-2026-000243,AV-2026-000243,CUMPLE
AV-2025-000244,AV-2025-000244,CORREGIDO
AV-2025-000245,AV-2025-000245,CUMPLE
AV-2025-000246,AV-2025-000246,CORREGIDO
AV-2025-000247,AV-2025-000247,CUMPLE
AV-2025-000248,AV-2025-000248,CUMPLE
AV-2025-000249,AV-2025-000249,CORREGIDO
AV-2025-000250,AV-2025-000250,CUMPLE
AV-2025-000251,,SALIO
AV-2025-000252,AV-2025-000252,CUMPLE
AV-2025-000253,AV-2025-000253,CUMPLE
AV-2024-000254,AV-2024-000254,CORREGIDO
AV-2026-000255,AV-2026-000255,CORREGIDO
AV-2025-000256,AV-2025-000256,CUMPLE
AV-2025-000257,AV-2025-000257,CUMPLE
AV-2024-000258,AV-2024-000258,PERSISTENTE
AV-2025-000259,AV-2025-000259,CUMPLE
AV-2025-000260,AV-2025-000260,CUMPLE
AV-2025-000261,AV-2025-000261,CORREGIDO
AV-2025-000262,AV-2025-000262,CUMPLE
AV-2025-000263,AV-2025-000263,CORREGIDO
AV-2026-000264,AV-2026-000264,CUMPLE
AV-2026-000265,AV-2026-000265,CORREGIDO
AV-2025-000266,AV-2025-000266,CUMPLE
AV-2026-000267,AV-2026-000267,CUMPLE
AV-2025-000268,AV-2025-000268,CUMPLE
AV-2024-000269,AV-2024-000269,PERSISTENTE
AV-2024-000270,AV-2024-000270,CUMPLE
AV-2025-000271,AV-2025-000271,CORREGIDO
AV-2025-000272,AV-2025-000272,CUMPLE
AV-2025-000273,,SALIO
AV-2024-000274,AV-2024-000274,PERSISTENTE
AV-2025-000275,AV-2025-000275,CUMPLE
AV-2025-000276,AV-2025-000276,CORREGIDO
AV-2026-000277,AV-2026-000277,CORREGIDO
AV-2025-000278,,SALIO_CUMPLIENDO
AV-2026-000279,AV-2026-000279,CUMPLE
AV-2025-000280,AV-2025-000280,CUMPLE
AV-2025-000281,AV-2025-000281,CUMPLE
AV-2025-000282,AV-2025-000282,CORREGIDO
AV-2025-000283,AV-2025-000283,CUMPLE
AV-2025-000284,AV-2025-000284,CORREGIDO
AV-2025-000285,AV-2025-000285,CUMPLE
AV-2025-000286,AV-2025-000286,CUMPLE
AV-2025-000287,AV-2025-000287,CUMPLE
AV-2025-000288,AV-2025-000288,CUMPLE
AV-2024-000289,AV-2024-000289,CUMPLE
AV-2025-000290,AV-2025-000290,PERSISTENTE
AV-2024-000291,AV-2024-000291,CUMPLE
AV-2024-000292,AV-2024-000292,CUMPLE
AV-2025-000293,,SALIO_CUMPLIENDO
AV-2024-000294,AV-2024-000294,CUMPLE
AV-2025-000295,AV-2025-000295,CUMPLE
AV-2025-000296,AV-2025-000296,PERSISTENTE
AV-2024-000297,AV-2024-000297,CORREGIDO
AV-2025-000298,AV-2025-000298,PERSISTENTE
AV-2026-000299,AV-2026-000299,CUMPLE
AV-2025-000300,AV-2025-000300,CUMPLE
AV-2025-000301,AV-2025-000301,CORREGIDO
AV-2025-000302,AV-2025-000302,CORREGIDO
AV-2025-000303,AV-2025-000303,PERSISTENTE
AV-2024-000304,AV-2024-000304,CUMPLE
AV-2025-000305,AV-2025-000305,CUMPLE
AV-2025-000306,AV-2025-000306,CUMPLE
AV-2025-000307,AV-2025-000307,CUMPLE
AV-2026-000308,AV-2026-000308,CORREGIDO
AV-2025-000309,AV-2025-000309,CORREGIDO
AV-2025-000310,AV-2025-000310,CUMPLE
AV-2025-000311,AV-2025-000311,CORREGIDO
AV-2025-000312,AV-2025-000312,CUMPLE
AV-2025-000313,AV-2025-000313,CORREGIDO
AV-2025-000314,AV-2025-000314,CUMPLE
AV-2025-000315,AV-2025-000315,PERSISTENTE
AV-2025-000316,AV-2025-000316,CUMPLE
AV-2025-000317,AV-2025-000317,CUMPLE
AV-2025-000318,AV-2025-000318,CUMPLE
AV-2024-000319,AV-2024-000319,CUMPLE
AV-2025-000320,AV-2025-000320,CUMPLE
AV-2025-000321,AV-2025-000321,CUMPLE
AV-2025-000322,AV-2025-000322,NUEVO
AV-2026-000323,AV-2026-000323,CORREGIDO
AV-2025-000324,,SALIO
AV-2025-000325,AV-2025-000325,CORREGIDO
AV-2025-000326,AV-2025-000326,CUMPLE
AV-2025-000327,AV-2025-000327,CUMPLE
AV-2025-000328,AV-2025-000328,CUMPLE
AV-2025-000329,AV-2025-000329,CORREGIDO
AV-2026-000330,AV-2026-000330,CORREGIDO
AV-2025-000331,AV-2025-000331,PERSISTENTE
AV-2025-000332,AV-2025-000332,CORREGIDO
AV-2025-000333,AV-2025-000333,PERSISTENTE
AV-2025-000334,AV-2025-000334,CUMPLE
AV-2025-000335,AV-2025-000335,CUMPLE
AV-2025-000336,AV-2025-000336,CUMPLE
AV-2024-000337,AV-2024-000337,CORREGIDO
AV-2025-000338,AV-2025-000338,CUMPLE
AV-2025-000339,AV-2025-000339,CUMPLE
AV-2025-000340,AV-2025-000340,CUMPLE
AV-2026-000341,,SALIO
AV-2025-000342,AV-2025-000342,CUMPLE
AV-2025-000343,AV-2025-000343,CUMPLE
AV-2025-000344,AV-2025-000344,CUMPLE
AV-2024-000345,AV-2024-000345,NUEVO
AV-2025-000346,,SALIO_CUMPLIENDO
AV-2025-000347,AV-2025-000347,CUMPLE
AV-2025-000348,AV-2025-000348,CUMPLE
AV-2024-000349,AV-2024-000349,CORREGIDO
AV-2024-000350,AV-2024-000350,CUMPLE
AV-2025-000351,AV-2025-000351,CUMPLE
AV-2026-000352,AV-2026-000352,CUMPLE
AV-2025-000353,AV-2025-000353,CUMPLE
AV-2025-000354,AV-2025-000354,CORREGIDO
AV-2025-000355,AV-2025-000355,CORREGIDO
AV-2026-000356,AV-2026-000356,CUMPLE
AV-2024-000357,AV-2024-000357,CORREGIDO
AV-2026-000358,AV-2026-000358,CUMPLE
AV-2026-000359,AV-2026-000359,CUMPLE
AV-2025-000360,AV-2025-000360,NUEVO
AV-2025-000361,AV-2025-000361,CUMPLE
AV-2025-000362,AV-2025-000362,CUMPLE
AV-2025-000363,AV-2025-000363,CORREGIDO
AV-2024-000364,AV-2024-000364,CUMPLE
AV-2024-000365,AV-2024-000365,CUMPLE
AV-2026-000366,AV-2026-000366,CUMPLE
AV-2026-000367,AV-2026-000367,PERSISTENTE
AV-2026-000368,AV-2026-000368,CUMPLE
AV-2025-000369,AV-2025-000369,CUMPLE
AV-2024-000370,,SALIO
AV-2025-000371,AV-2025-000371,PERSISTENTE
AV-2025-000372,AV-2025-000372,CORREGIDO
AV-2026-000373,AV-2026-000373,CUMPLE
AV-2024-000374,AV-2024-000374,CUMPLE
AV-2025-000375,AV-2025-000375,CUMPLE
AV-2025-000376,AV-2025-000376,CUMPLE
AV-2025-000377,AV-2025-000377,CUMPLE
AV-2025-000378,AV-2025-000378,PERSISTENTE
AV-2025-000379,AV-2025-000379,PERSISTENTE
AV-2025-000380,,SALIO
AV-2025-000381,AV-2025-000381,CUMPLE
AV-2024-000382,AV-2024-000382,CUMPLE
AV-2024-000383,AV-2024-000383,CUMPLE
AV-2025-000384,AV-2025-000384,CUMPLE
AV-2026-000385,AV-2026-000385,CORREGIDO
AV-2025-000386,AV-2025-000386,CUMPLE
AV-2025-000387,AV-2025-000387,CUMPLE
AV-2025-000388,AV-2025-000388,CUMPLE
AV-2025-000389,AV-2025-000389,CUMPLE
AV-2025-000390,AV-2025-000390,CUMPLE
AV-2026-000391,AV-2026-000391,CORREGIDO
AV-2025-000392,AV-2025-000392,PERSISTENTE
AV-2025-000393,AV-2025-000393,CUMPLE
AV-2024-000394,AV-2024-000394,PERSISTENTE
AV-2025-000395,AV-2025-000395,CUMPLE
AV-2024-000396,,SALIO_CUMPLIENDO
AV-2025-000397,AV-2025-000397,CUMPLE
AV-2025-000398,AV-2025-000398,CUMPLE
AV-2025-000399,AV-2025-000399,CUMPLE
AV-2025-000400,AV-2025-000400,PERSISTENTE
AV-2024-000401,AV-2024-000401,CORREGIDO
AV-2025-000402,AV-2025-000402,CUMPLE
AV-2025-000403,AV-2025-000403,CUMPLE
AV-2025-000404,AV-2025-000404,CORREGIDO
AV-2024-000405,AV-2024-000405,CORREGIDO
AV-2025-000406,AV-2025-000406,CUMPLE
AV-2025-000407,AV-2025-000407,CUMPLE
AV-2024-000408,AV-2024-000408,CORREGIDO
AV-2025-000409,AV-2025-000409,CUMPLE
AV-2024-000410,AV-2024-000410,CUMPLE
AV-2025-000411,AV-2025-000411,CUMPLE
AV-2024-000412,AV-2024-000412,CUMPLE
AV-2025-000413,AV-2025-000413,CUMPLE
AV-2025-000414,AV-2025-000414,CORREGIDO
AV-2026-000415,AV-2026-000415,CUMPLE
AV-2024-000416,AV-2024-000416,CUMPLE
AV-2024-000417,AV-2024-000417,CUMPLE
AV-2025-000418,AV-2025-000418,CUMPLE
AV-2025-000419,AV-2025-000419,CUMPLE
AV-2026-000420,AV-2026-000420,CUMPLE
AV-2025-000421,AV-2025-000421,CUMPLE
AV-2025-000422,AV-2025-000422,CORREGIDO
AV-2025-000423,AV-2025-000423,CORREGIDO
AV-2025-000424,AV-2025-000424,CORREGIDO
AV-2024-000425,AV-2024-000425,CUMPLE
AV-2025-000426,AV-2025-000426,CORREGIDO
AV-2026-000427,AV-2026-000427,CUMPLE
AV-2024-000428,AV-2024-000428,PERSISTENTE
AV-2025-000429,AV-2025-000429,CUMPLE
AV-2026-000430,AV-2026-000430,CUMPLE
AV-2026-000431,AV-2026-000431,CUMPLE
AV-2025-000432,AV-2025-000432,CUMPLE
AV-2024-000433,AV-2024-000433,CUMPLE
AV-2025-000434,AV-2025-000434,CUMPLE
AV-2025-000435,AV-2025-000435,CORREGIDO
AV-2025-000436,AV-2025-000436,CUMPLE
AV-2025-000437,AV-2025-000437,CORREGIDO
AV-2026-000438,,SALIO
AV-2025-000439,AV-2025-000439,CUMPLE
AV-2025-000440,AV-2025-000440,CUMPLE
AV-2025-000441,AV-2025-000441,CUMPLE
AV-2025-000442,AV-2025-000442,CUMPLE
AV-2025-000443,AV-2025-000443,CUMPLE
AV-2024-000444,AV-2024-000444,CUMPLE
AV-2025-000445,AV-2025-000445,PERSISTENTE
AV-2024-000446,AV-2024-000446,CUMPLE
AV-2024-000447,AV-2024-000447,CUMPLE
AV-2025-000448,AV-2025-000448,CORREGIDO
AV-2025-000449,AV-2025-000449,PERSISTENTE
AV-2024-000450,AV-2024-000450,CUMPLE
AV-2026-000451,AV-2026-000451,CUMPLE
AV-2025-000452,AV-2025-000452,CUMPLE
AV-2025-000453,AV-2025-000453,CORREGIDO
AV-2025-000454,AV-2025-000454,CUMPLE
AV-2025-000455,AV-2025-000455,CUMPLE
AV-2025-000456,AV-2025-000456,CORREGIDO
AV-2025-000457,AV-2025-000457,CORREGIDO
AV-2025-000458,AV-2025-000458,CUMPLE
AV-2026-000459,AV-2026-000459,CUMPLE
AV-2025-000460,AV-2025-000460,CUMPLE
AV-2025-000461,AV-2025-000461,CUMPLE
AV-2025-000462,AV-2025-000462,CUMPLE
AV-2024-000463,AV-2024-000463,CUMPLE
AV-2025-000464,AV-2025-000464,PERSISTENTE
AV-2024-000465,AV-2024-000465,PERSISTENTE
AV-2025-000466,,SALIO_CUMPLIENDO
AV-2026-000467,AV-2026-000467,CUMPLE
AV-2026-000468,AV-2026-000468,CUMPLE
AV-2025-000469,AV-2025-000469,CORREGIDO
AV-2026-000470,,SALIO
AV-2024-000471,AV-2024-000471,NUEVO
AV-2025-000472,AV-2025-000472,CUMPLE
AV-2025-000473,AV-2025-000473,CUMPLE
AV-2025-000474,AV-2025-000474,CUMPLE
AV-2026-000475,AV-2026-000475,CORREGIDO
AV-2024-000476,AV-2024-000476,CORREGIDO
AV-2024-000477,AV-2024-000477,PERSISTENTE
AV-2025-000478,AV-2025-000478,CUMPLE
AV-2025-000479,AV-2025-000479,CORREGIDO
AV-2024-000480,AV-2024-000480,CUMPLE
AV-2025-000481,AV-2025-000481,CUMPLE
AV-2025-000482,,SALIO
AV-2025-000483,AV-2025-000483,PERSISTENTE
AV-2024-000484,AV-2024-000484,CUMPLE
AV-2025-000485,AV-2025-000485,PERSISTENTE
AV-2025-000486,AV-2025-000486,CUMPLE
AV-2024-000487,AV-2024-000487,CORREGIDO
AV-2025-000488,AV-2025-000488,CUMPLE
AV-2025-000489,AV-2025-000489,CUMPLE
AV-2024-000490,AV-2024-000490,CORREGIDO
AV-2025-000491,,SALIO_CUMPLIENDO
AV-2025-000492,AV-2025-000492,CUMPLE
AV-2025-000493,AV-2025-000493,CUMPLE
AV-2025-000494,AV-2025-000494,CUMPLE
AV-2025-000495,AV-2025-000495,CUMPLE
AV-2026-000496,AV-2026-000496,CUMPLE
AV-2026-000497,AV-2026-000497,CUMPLE
AV-2026-000498,AV-2026-000498,CUMPLE
AV-2026-000499,AV-2026-000499,CUMPLE
AV-2025-000500,AV-2025-000500,CUMPLE
AV-2025-000501,AV-2025-000501,PERSISTENTE
AV-2025-000502,AV-2025-000502,CUMPLE
AV-2025-000503,AV-2025-000503,CUMPLE
AV-2025-000504,AV-2025-000504,CUMPLE
AV-2024-000505,AV-2024-000505,CUMPLE
AV-2024-000506,AV-2024-000506,CUMPLE
AV-2025-000507,AV-2025-000507,CUMPLE
AV-2025-000508,AV-2025-000508,CUMPLE
AV-2025-000509,AV-2025-000509,CORREGIDO
AV-2025-000510,AV-2025-000510,CUMPLE
AV-2025-000511,AV-2025-000511,PERSISTENTE
AV-2024-000512,AV-2024-000512,CORREGIDO
AV-2025-000513,AV-2025-000513,CUMPLE
AV-2025-000514,AV-2025-000514,CORREGIDO
AV-2025-000515,AV-2025-000515,CUMPLE
AV-2025-000516,AV-2025-000516,CORREGIDO
AV-2025-000517,AV-2025-000517,CUMPLE
AV-2025-000518,AV-2025-000518,CUMPLE
AV-2025-000519,AV-2025-000519,CUMPLE
AV-2025-000520,AV-2025-000520,CORREGIDO
AV-2024-000521,AV-2024-000521,CUMPLE
AV-2024-000522,AV-2024-000522,CUMPLE
AV-2025-000523,AV-2025-000523,CUMPLE
AV-2025-000524,AV-2025-000524,CORREGIDO
AV-2026-000525,AV-2026-000525,CORREGIDO
AV-2025-000526,AV-2025-000526,CUMPLE
AV-2025-000527,AV-2025-000527,CUMPLE
AV-2025-000528,AV-2025-000528,CORREGIDO
AV-2026-000529,AV-2026-000529,CUMPLE
AV-2026-000530,AV-2026-000530,CUMPLE
AV-2025-000531,AV-2025-000531,CUMPLE
AV-2025-000532,AV-2025-000532,PERSISTENTE
AV-2025-000533,AV-2025-000533,CUMPLE
AV-2025-000534,AV-2025-000534,CUMPLE
AV-2024-000535,AV-2024-000535,CUMPLE
AV-2025-000536,AV-2025-000536,CORREGIDO
AV-2025-000537,,SALIO_CUMPLIENDO
AV-2025-000538,AV-2025-000538,CUMPLE
AV-2025-000539,AV-2025-000539,CUMPLE
AV-2025-000540,AV-2025-000540,CUMPLE
AV-2025-000541,AV-2025-000541,CUMPLE
AV-2025-000542,AV-2025-000542,CORREGIDO
AV-2025-000543,AV-2025-000543,PERSISTENTE
AV-2025-000544,AV-2025-000544,CUMPLE
AV-2025-000545,AV-2025-000545,NUEVO
AV-2026-000546,AV-2026-000546,CUMPLE
AV-2025-000547,AV-2025-000547,CORREGIDO
AV-2025-000548,AV-2025-000548,CUMPLE
AV-2025-000549,AV-2025-000549,CUMPLE
AV-2025-000550,AV-2025-000550,CUMPLE
AV-2025-000551,,SALIO
AV-2024-000552,AV-2024-000552,CUMPLE
AV-2026-000553,AV-2026-000553,CUMPLE
AV-2025-000554,AV-2025-000554,CUMPLE
AV-2025-000555,AV-2025-000555,CUMPLE
AV-2025-000556,AV-2025-000556,PERSISTENTE
AV-2025-000557,AV-2025-000557,CORREGIDO
AV-2024-000558,AV-2024-000558,CUMPLE
