sk_corte,sk_fecha_valor,sk_geografia,sk_tipologia,sk_perito,sk_confiabilidad,id_avaluo,numero_finca,corte,moneda,finalidad,fecha_valor,nivel_confiabilidad,credito_atribuible,tiene_credito,valor_garantia,saldo,ltv,dias_antiguedad,n_bloquea,n_revisa,saldo_equivalente_crc,exposicion_no_confiable
1,20210407,8,3,4,2,AV-2024-003636,3-179347,2026-03,USD,Garantía hipotecaria,2021-04-07,REVISAR,true,true,544172.00,352915.40,0.6485,1819,0,1,179986854.0,
1,20210407,8,4,3,2,AV-2026-001063,3-315757-229,2026-03,USD,Leasing,2021-04-07,REVISAR,true,true,187325.00,126832.76,0.6771,1819,0,1,64684707.599999994,
1,20210407,16,4,3,2,AV-2025-002641,4-396163-051,2026-03,USD,Leasing,2021-04-07,REVISAR,true,true,427345.00,198523.99,0.4646,1819,0,1,101247234.89999999,
1,20210409,1,7,3,2,AV-2025-002532,2-850541,2026-03,CRC,Leasing,2021-04-09,REVISAR,true,true,5057691000.00,2687718772.81,0.5314,1817,0,2,2687718772.81,
1,20210410,27,1,4,2,AV-2025-002671,1-690434-374,2026-03,USD,Actualización de garantía,2021-04-10,REVISAR,true,true,630855.00,321750.31,0.51,1816,0,1,164092658.1,
1,20210412,8,3,3,2,AV-2025-001533,3-357422,2026-03,USD,Contable,2021-04-12,REVISAR,true,false,162915.00,,,1814,0,2,,
1,20210413,25,9,7,2,AV-2026-000612,6-959754,2026-03,CRC,Actualización de garantía,2021-04-13,REVISAR,true,true,68667000.00,33718634.30,0.491,1813,0,2,33718634.3,
1,20210414,10,8,6,2,AV-2025-003557,3-662538,2026-03,USD,Garantía hipotecaria,2021-04-14,REVISAR,true,true,2508767.00,1375482.48,0.5483,1812,0,2,701496064.8,
1,20210417,31,6,3,2,AV-2025-001590,1-331464,2026-03,CRC,Actualización de garantía,2021-04-17,REVISAR,true,true,3996165000.00,3286477270.11,0.8224,1809,0,1,3286477270.11,
1,20210426,2,3,7,2,AV-2025-003040,2-501430,2026-03,CRC,Leasing,2021-04-26,REVISAR,true,true,210716000.00,97321379.32,0.4619,1800,0,1,97321379.32,
1,20210426,12,3,3,3,AV-2025-003048,5-909649,2026-03,CRC,Actualización de garantía,2021-04-26,NO_CONFIABLE,true,true,253302000.00,107902350.17,0.426,1800,1,1,107902350.17,107902350.17
1,20210426,18,3,1,2,AV-2025-003507,4-884160,2026-03,CRC,Garantía hipotecaria,2021-04-26,REVISAR,true,true,435249000.00,340071428.92,0.7813,1800,0,1,340071428.92,
1,20210427,6,6,2,2,AV-2025-003969,2-392222,2026-03,CRC,Actualización de garantía,2021-04-27,REVISAR,true,true,911454000.00,630895940.29,0.6922,1799,0,1,630895940.29,
1,20210427,12,3,8,2,AV-2026-003635,5-399918,2026-03,CRC,Actualización de garantía,2021-04-27,REVISAR,true,true,271736000.00,210827522.39,0.7759,1799,0,1,210827522.39,
1,20210429,19,3,2,2,AV-2025-003801,4-594674,2026-03,CRC,Compraventa,2021-04-29,REVISAR,true,false,727470000.00,,,1797,0,1,,
1,20210430,18,7,6,3,AV-2025-000371,4-565674,2026-03,CRC,Contable,2021-04-30,NO_CONFIABLE,true,false,1018566000.00,,,1796,1,1,,
1,20210506,21,6,1,2,AV-2025-000044,7-986641,2026-03,CRC,Garantía hipotecaria,2021-05-06,REVISAR,true,true,10286805000.00,7929421638.70,0.7708,1790,0,1,7929421638.7,
1,20210510,1,3,7,2,AV-2025-001782,2-353199,2026-03,CRC,Garantía hipotecaria,2021-05-10,REVISAR,true,true,1386632000.00,817539516.00,0.5896,1786,0,1,817539516.0,
1,20210513,13,7,9,2,AV-2025-003571,5-608553,2026-03,CRC,Leasing,2021-05-13,REVISAR,true,true,625651000.00,387235520.03,0.6189,1783,0,1,387235520.03,
1,20210515,26,3,4,2,AV-2025-001449,1-225689,2026-03,CRC,Garantía hipotecaria,2021-05-15,REVISAR,true,true,1360826000.00,1008749177.78,0.7413,1781,0,1,1008749177.78,
1,20210517,9,7,8,2,AV-2024-002815,3-360691,2026-03,CRC,Garantía hipotecaria,2021-05-17,REVISAR,true,true,2128831000.00,1400136853.64,0.6577,1779,0,2,1400136853.64,
1,20210517,11,1,7,2,AV-2026-000792,5-523728-057,2026-03,USD,Garantía hipotecaria,2021-05-17,REVISAR,true,true,3109615.00,534353.84,0.1718,1779,0,2,272520458.4,
1,20210519,8,4,9,2,AV-2025-003454,3-415630-357,2026-03,USD,Garantía hipotecaria,2021-05-19,REVISAR,true,true,621091.00,309376.43,0.4981,1777,0,1,157781979.29999998,
1,20210520,11,3,4,2,AV-2025-000296,5-834615,2026-03,USD,Actualización de garantía,2021-05-20,REVISAR,true,true,242385.00,171032.00,0.7056,1776,0,1,87226320.0,
1,20210521,33,7,7,2,AV-2025-000126,1-316844,2026-03,CRC,Garantía hipotecaria,2021-05-21,REVISAR,true,true,1913263000.00,1327340351.68,0.6938,1775,0,1,1327340351.68,
1,20210526,1,3,9,2,AV-2024-000269,2-694960,2026-03,CRC,Garantía hipotecaria,2021-05-26,REVISAR,true,true,984097000.00,437515645.81,0.4446,1770,0,1,437515645.81,
1,20210526,34,3,3,2,AV-2025-000905,1-743434,2026-03,CRC,Leasing,2021-05-26,REVISAR,true,true,286855000.00,198599095.69,0.6923,1770,0,1,198599095.69,
1,20210528,34,7,6,2,AV-2025-003348,1-674517,2026-03,CRC,Leasing,2021-05-28,REVISAR,true,true,1321434000.00,679338825.22,0.5141,1768,0,1,679338825.22,
1,20210529,8,9,2,2,AV-2025-002714,3-759685,2026-03,CRC,Seguro,2021-05-29,REVISAR,true,false,342423000.00,,,1767,0,1,,
1,20210530,33,3,4,2,AV-2024-002956,1-653494,2026-03,CRC,Actualización de garantía,2021-05-30,REVISAR,true,true,420500000.00,1019082110.08,2.4235,1766,0,2,1019082110.08,
1,20210603,26,4,6,2,AV-2025-002162,1-397591-384,2026-03,USD,Actualización de garantía,2021-06-03,REVISAR,true,true,464368.00,312907.44,0.6738,1762,0,1,159582794.4,
1,20210605,18,2,5,2,AV-2026-003294,4-130091,2026-03,USD,Leasing,2021-06-05,REVISAR,true,true,2926949.00,1955443.52,0.6681,1760,0,1,997276195.2,
1,20210606,34,1,8,2,AV-2025-002458,1-877101-190,2026-03,USD,Actualización de garantía,2021-06-06,REVISAR,true,true,311704.00,225620.41,0.7238,1759,0,1,115066409.10000001,
1,20210614,26,1,3,2,AV-2025-002231,1-704190-079,2026-03,USD,Actualización de garantía,2021-06-14,REVISAR,true,true,430975.00,353388.58,0.82,1751,0,1,180228175.8,
1,20210615,26,7,2,2,AV-2025-003561,1-271122,2026-03,CRC,Actualización de garantía,2021-06-15,REVISAR,true,true,1988187000.00,904705669.15,0.455,1750,0,1,904705669.15,
1,20210620,26,1,-1,3,AV-2024-001382,1-274699-276,2026-03,USD,Compraventa,2021-06-20,NO_CONFIABLE,true,false,198106.00,,,1745,1,1,,
1,20210621,9,9,6,2,AV-2026-000817,3-152891,2026-03,CRC,Leasing,2021-06-21,REVISAR,true,true,408499000.00,343978496.68,0.8421,1744,0,1,343978496.68,
1,20210621,30,3,8,2,AV-2026-001431,1-135657,2026-03,CRC,Actualización de garantía,2021-06-21,REVISAR,true,true,2809848000.00,487917536.40,0.1736,1744,0,2,487917536.4,
1,20210622,28,9,1,2,AV-2025-001170,1-936679,2026-03,CRC,Garantía hipotecaria,2021-06-22,REVISAR,true,true,94591000.00,67093956.91,0.7093,1743,0,1,67093956.91,
1,20210623,11,9,3,2,AV-2025-002913,5-580323,2026-03,USD,Compraventa,2021-06-23,REVISAR,true,false,292178.00,,,1742,0,1,,
1,20210624,9,9,4,2,AV-2024-000041,3-563828,2026-03,CRC,Garantía hipotecaria,2021-06-24,REVISAR,true,true,134299000.00,63766249.42,0.4748,1741,0,1,63766249.42,
1,20210624,15,1,1,2,AV-2025-001022,4-763220-369,2026-03,USD,Garantía hipotecaria,2021-06-24,REVISAR,true,true,357411.00,189644.28,0.5306,1741,0,2,96718582.8,
1,20210627,14,9,8,2,AV-2024-003599,5-569236,2026-03,CRC,Garantía hipotecaria,2021-06-27,REVISAR,true,true,33118000.00,25259020.86,0.7627,1738,0,1,25259020.86,
1,20210704,24,3,7,2,AV-2025-000207,6-254558,2026-03,CRC,Garantía hipotecaria,2021-07-04,REVISAR,true,true,140483000.00,111776203.37,0.7957,1731,0,1,111776203.37,
1,20210704,26,4,6,2,AV-2025-002886,1-328744-033,2026-03,USD,Actualización de garantía,2021-07-04,REVISAR,true,true,212634.00,121277.18,0.5704,1731,0,1,61851361.8,
1,20210708,15,1,2,2,AV-2025-003768,4-710515-197,2026-03,USD,Leasing,2021-07-08,REVISAR,true,true,297120.00,174942.31,0.5888,1727,0,1,89220578.1,
1,20210713,1,1,3,3,AV-2025-003609,2-901163-013,2026-03,USD,Actualización de garantía,2021-07-13,NO_CONFIABLE,true,true,207899.00,99209.11,0.4772,1722,1,1,50596646.1,99209.11
1,20210714,6,9,3,2,AV-2024-002748,2-962104,2026-03,CRC,Contable,2021-07-14,REVISAR,true,false,23731000.00,,,1721,0,1,,
1,20210716,31,6,4,2,AV-2026-001872,1-652909,2026-03,CRC,Leasing,2021-07-16,REVISAR,true,true,626695000.00,436077576.50,0.6958,1719,0,1,436077576.5,
1,20210717,28,7,9,2,AV-2025-001019,1-409230,2026-03,CRC,Actualización de garantía,2021-07-17,REVISAR,true,true,471557000.00,352816050.12,0.7482,1718,0,1,352816050.12,
1,20210719,7,5,3,2,AV-2024-002387,3-509559,2026-03,USD,Compraventa,2021-07-19,REVISAR,true,false,8453622.00,,,1716,0,1,,
1,20210721,21,9,4,2,AV-2025-000885,7-958564,2026-03,CRC,Leasing,2021-07-21,REVISAR,true,true,90570000.00,40506718.03,0.4472,1714,0,1,40506718.03,
1,20210723,28,7,6,2,AV-2025-001294,1-916773,2026-03,CRC,Contable,2021-07-23,REVISAR,true,false,1954079000.00,,,1712,0,1,,
1,20210726,15,1,8,2,AV-2025-001016,4-361979-140,2026-03,USD,Actualización de garantía,2021-07-26,REVISAR,true,true,310409.00,227192.29,0.7319,1709,0,1,115868067.9,
1,20210804,29,9,4,2,AV-2025-001968,1-212757,2026-03,CRC,Leasing,2021-08-04,REVISAR,true,true,138508000.00,74082314.71,0.5349,1700,0,1,74082314.71,
1,20210805,22,1,3,2,AV-2025-000124,7-786695-235,2026-03,USD,Actualización de garantía,2021-08-05,REVISAR,true,true,1804497.00,205616.93,0.1139,1699,0,2,104864634.3,
1,20210811,16,3,3,2,AV-2025-001221,4-978295,2026-03,CRC,Leasing,2021-08-11,REVISAR,true,true,538057000.00,435863602.05,0.8101,1693,0,1,435863602.05,
1,20210811,30,7,3,3,AV-2025-000039,1-671342,2026-03,CRC,Garantía hipotecaria,2021-08-11,NO_CONFIABLE,false,false,2006006000.00,,,1693,1,1,,
1,20210812,33,5,7,2,AV-2024-000166,1-748812,2026-03,USD,Leasing,2021-08-12,REVISAR,true,true,6352391.00,4682282.47,0.7371,1692,0,2,2387964059.7,
1,20210814,13,9,9,2,AV-2025-000501,5-636985,2026-03,CRC,Compraventa,2021-08-14,REVISAR,true,false,100038000.00,,,1690,0,1,,
1,20210817,3,6,1,2,AV-2024-002624,2-428010,2026-03,CRC,Seguro,2021-08-17,REVISAR,true,false,11854460000.00,,,1687,0,1,,
1,20210819,35,2,3,2,AV-2025-001834,1-868220,2026-03,CRC,Contable,2021-08-19,REVISAR,true,false,6153127000.00,,,1685,0,1,,
1,20210821,27,3,8,2,AV-2024-000490,1-471621,2026-03,USD,Garantía hipotecaria,2021-08-21,REVISAR,true,true,283366.00,142228.66,0.5019,1683,0,1,72536616.60000001,
1,20210821,30,7,3,2,AV-2024-003922,1-919989,2026-03,CRC,Garantía hipotecaria,2021-08-21,REVISAR,true,true,650576000.00,469669805.04,0.7219,1683,0,2,469669805.04,
1,20210826,17,3,7,3,AV-2025-003012,4-449060,2026-03,CRC,Leasing,2021-08-26,NO_CONFIABLE,true,true,108128000.00,79273126.83,0.7331,1678,1,1,79273126.83,79273126.83
1,20210829,14,1,7,2,AV-2025-000815,5-891479-119,2026-03,CRC,Actualización de garantía,2021-08-29,REVISAR,true,true,260071000.00,176476535.42,0.6786,1675,0,1,176476535.42,
1,20210830,25,4,8,2,AV-2026-003698,6-982161-342,2026-03,USD,Garantía hipotecaria,2021-08-30,REVISAR,true,true,328896.00,176168.93,0.5356,1674,0,2,89846154.3,
1,20210903,8,9,3,2,AV-2024-002846,3-181667,2026-03,CRC,Actualización de garantía,2021-09-03,REVISAR,true,true,42665000.00,26908753.09,0.6307,1670,0,1,26908753.09,
1,20210903,16,2,3,2,AV-2025-001481,4-429477,2026-03,USD,Leasing,2021-09-03,REVISAR,true,true,6796466.00,3932117.37,0.5786,1670,0,2,2005379858.7,
1,20210904,34,1,9,2,AV-2025-002647,1-725396-182,2026-03,USD,Compraventa,2021-09-04,REVISAR,true,false,714457.00,,,1669,0,1,,
1,20210905,18,2,3,3,AV-2025-001845,4-569345,2026-03,USD,Leasing,2021-09-05,NO_CONFIABLE,true,true,617383.00,1395518.99,2.2604,1668,1,1,711714684.9,1395518.99
1,20210907,10,6,7,2,AV-2024-001572,3-393393,2026-03,CRC,Contable,2021-09-07,REVISAR,true,false,7876514000.00,,,1666,0,1,,
1,20210908,29,2,3,3,AV-2024-002337,1-389737,2026-03,USD,Actualización de garantía,2021-09-08,NO_CONFIABLE,false,false,1111466.00,,,1665,1,1,,
1,20210909,24,3,7,2,AV-2025-002492,6-144410,2026-03,CRC,Leasing,2021-09-09,REVISAR,true,true,388384000.00,299541441.91,0.7713,1664,0,1,299541441.91,
1,20210914,35,3,3,2,AV-2025-003295,1-504897,2026-03,CRC,Garantía hipotecaria,2021-09-14,REVISAR,true,true,606182000.00,476787537.36,0.7865,1659,0,1,476787537.36,
1,20210916,4,2,7,2,AV-2025-001996,2-340925,2026-03,USD,Garantía hipotecaria,2021-09-16,REVISAR,true,true,15413167.00,10889116.83,0.7065,1657,0,1,5553449583.3,
1,20210917,21,3,1,3,AV-2025-001212,7-905183,2026-03,CRC,Leasing,2021-09-17,NO_CONFIABLE,true,true,516912000.00,331757052.49,0.6418,1656,1,1,331757052.49,331757052.49
1,20210918,12,9,3,2,AV-2025-002046,5-488061,2026-03,USD,Leasing,2021-09-18,REVISAR,true,true,591773.00,395165.56,0.6678,1655,0,1,201534435.6,
1,20210922,2,8,3,2,AV-2026-002028,2-101789,2026-03,CRC,Leasing,2021-09-22,REVISAR,true,true,4151678000.00,2218672745.02,0.5344,1651,0,2,2218672745.02,
1,20210922,26,1,8,2,AV-2026-000385,1-201693-214,2026-03,USD,Garantía hipotecaria,2021-09-22,REVISAR,true,true,506132.00,378668.19,0.7482,1651,0,1,193120776.9,
1,20210924,13,9,6,2,AV-2025-001537,5-993683,2026-03,CRC,Contable,2021-09-24,REVISAR,true,false,50537000.00,,,1649,0,1,,
1,20210924,18,1,9,2,AV-2024-000693,4-133407-381,2026-03,USD,Leasing,2021-09-24,REVISAR,true,true,246082.00,175522.61,0.7133,1649,0,1,89516531.1,
1,20210925,3,3,2,2,AV-2024-003431,2-939308,2026-03,CRC,Leasing,2021-09-25,REVISAR,true,true,227436000.00,165726646.24,0.7287,1648,0,1,165726646.24,
1,20210928,5,9,9,2,AV-2025-001613,2-272040,2026-03,CRC,Garantía hipotecaria,2021-09-28,REVISAR,true,true,76146000.00,39652229.57,0.5207,1645,0,1,39652229.57,
1,20210928,7,1,-1,3,AV-2025-000263,3-886145-031,2026-03,USD,Leasing,2021-09-28,NO_CONFIABLE,true,true,250990.00,135460.46,0.5397,1645,1,1,69084834.6,135460.46
1,20211007,28,3,9,2,AV-2025-001453,1-906169,2026-03,CRC,Leasing,2021-10-07,REVISAR,true,true,326549000.00,221228820.70,0.6775,1636,0,1,221228820.7,
1,20211012,5,3,9,2,AV-2024-002304,2-567949,2026-03,CRC,Actualización de garantía,2021-10-12,REVISAR,true,true,110020000.00,45996718.26,0.4181,1631,0,1,45996718.26,
1,20211013,33,1,2,2,AV-2025-000309,1-908549-395,2026-03,USD,Garantía hipotecaria,2021-10-13,REVISAR,true,true,138378.00,98487.61,0.7117,1630,0,1,50228681.1,
1,20211013,34,3,7,2,AV-2026-001930,1-613001,2026-03,CRC,Compraventa,2021-10-13,REVISAR,true,false,99698000.00,,,1630,0,2,,
1,20211014,35,4,6,2,AV-2024-000824,1-485457-134,2026-03,USD,Seguro,2021-10-14,REVISAR,true,false,172770.00,,,1629,0,1,,
1,20211018,29,3,1,2,AV-2025-000424,1-982729,2026-03,CRC,Leasing,2021-10-18,REVISAR,true,true,423742000.00,200569760.62,0.4733,1625,0,2,200569760.62,
1,20211019,11,3,4,2,AV-2025-002825,5-475202,2026-03,CRC,Leasing,2021-10-19,REVISAR,true,true,1035905000.00,487720929.55,0.4708,1624,0,1,487720929.55,
1,20211021,7,5,3,2,AV-2024-001209,3-659342,2026-03,CRC,Garantía hipotecaria,2021-10-21,REVISAR,true,true,3783399000.00,1808978081.96,0.4781,1622,0,1,1808978081.96,
1,20211021,11,1,3,2,AV-2024-000487,5-750544-362,2026-03,USD,Garantía hipotecaria,2021-10-21,REVISAR,true,true,751203.00,539072.68,0.7176,1622,0,1,274927066.8,
1,20211022,28,1,6,2,AV-2024-001774,1-817624-374,2026-03,USD,Actualización de garantía,2021-10-22,REVISAR,true,true,255692.00,182503.12,0.7138,1621,0,1,93076591.2,
1,20211024,1,3,6,2,AV-2025-001918,2-845866,2026-03,USD,Garantía hipotecaria,2021-10-24,REVISAR,true,true,353439.00,256683.39,0.7262,1619,0,2,130908528.9,
1,20211025,28,4,8,2,AV-2025-001802,1-223425-187,2026-03,USD,Garantía hipotecaria,2021-10-25,REVISAR,true,true,361028.00,279427.80,0.774,1618,0,2,142508178.0,
1,20211026,10,3,1,2,AV-2025-000836,3-782102,2026-03,CRC,Garantía hipotecaria,2021-10-26,REVISAR,true,true,205496000.00,89213177.19,0.4341,1617,0,1,89213177.19,
1,20211028,16,9,3,2,AV-2026-003173,4-263548,2026-03,CRC,Actualización de garantía,2021-10-28,REVISAR,true,true,171444000.00,140285647.50,0.8183,1615,0,1,140285647.5,
1,20211103,16,3,4,2,AV-2025-001184,4-559852,2026-03,USD,Actualización de garantía,2021-11-03,REVISAR,true,true,808539.00,564859.75,0.6986,1609,0,1,288078472.5,
1,20211104,11,1,1,2,AV-2025-003831,5-838664-331,2026-03,CRC,Garantía hipotecaria,2021-11-04,REVISAR,true,true,110934000.00,59387678.18,0.5353,1608,0,1,59387678.18,
1,20211104,12,3,4,2,AV-2025-003806,5-410892,2026-03,CRC,Garantía hipotecaria,2021-11-04,REVISAR,true,true,101287000.00,58076749.76,0.5734,1608,0,1,58076749.76,
1,20211104,29,3,7,2,AV-2025-002289,1-211298,2026-03,CRC,Leasing,2021-11-04,REVISAR,true,true,430482000.00,282723257.63,0.6568,1608,0,1,282723257.63,
1,20211110,7,7,7,2,AV-2025-000302,3-496468,2026-03,CRC,Compraventa,2021-11-10,REVISAR,true,false,772824000.00,,,1602,0,1,,
1,20211110,35,1,3,2,AV-2026-001576,1-753264-287,2026-03,USD,Leasing,2021-11-10,REVISAR,true,true,673916.00,453904.80,0.6735,1602,0,1,231491448.0,
1,20211111,16,1,2,2,AV-2025-000514,4-745864-373,2026-03,USD,Contable,2021-11-11,REVISAR,true,false,1020887.00,,,1601,0,2,,
1,20211115,12,8,9,2,AV-2026-002193,5-582858,2026-03,CRC,Seguro,2021-11-15,REVISAR,true,false,1031660000.00,,,1597,0,1,,
1,20211118,14,3,3,2,AV-2025-002669,5-563692,2026-03,CRC,Garantía hipotecaria,2021-11-18,REVISAR,true,true,373070000.00,213938338.55,0.5735,1594,0,1,213938338.55,
1,20211119,11,4,4,2,AV-2025-003484,5-840775-066,2026-03,CRC,Garantía hipotecaria,2021-11-19,REVISAR,true,true,138293000.00,108133873.26,0.7819,1593,0,1,108133873.26,
1,20211120,24,8,9,2,AV-2025-002528,6-897496,2026-03,CRC,Leasing,2021-11-20,REVISAR,true,true,5694246000.00,3428394448.34,0.6021,1592,0,1,3428394448.34,
1,20211121,9,9,3,2,AV-2025-001744,3-339080,2026-03,CRC,Seguro,2021-11-21,REVISAR,true,false,33448000.00,,,1591,0,1,,
1,20211123,22,4,3,3,AV-2025-002357,7-834683-044,2026-03,USD,Contable,2021-11-23,NO_CONFIABLE,true,false,393392.00,,,1589,1,1,,
1,20211124,16,1,7,2,AV-2024-000838,4-609029-114,2026-03,USD,Contable,2021-11-24,REVISAR,true,false,274865.00,,,1588,0,1,,
1,20211125,35,3,2,2,AV-2025-001366,1-630542,2026-03,CRC,Leasing,2021-11-25,REVISAR,true,true,460295000.00,351578489.81,0.7638,1587,0,1,351578489.81,
1,20211128,17,7,7,2,AV-2024-003714,4-193441,2026-03,USD,Seguro,2021-11-28,REVISAR,true,false,657557.00,,,1584,0,1,,
1,20211204,1,3,7,2,AV-2025-000904,2-484925,2026-03,CRC,Leasing,2021-12-04,REVISAR,true,true,553565000.00,281020739.79,0.5077,1578,0,1,281020739.79,
1,20211205,1,5,3,2,AV-2025-000950,2-944416,2026-03,CRC,Leasing,2021-12-05,REVISAR,true,true,3788060000.00,2765663440.88,0.7301,1577,0,1,2765663440.88,
1,20211208,5,9,3,2,AV-2025-002177,2-334611,2026-03,CRC,Actualización de garantía,2021-12-08,REVISAR,true,true,19111000.00,15381893.49,0.8049,1574,0,1,15381893.49,
1,20211209,18,3,1,2,AV-2024-000297,4-486309,2026-03,CRC,Actualización de garantía,2021-12-09,REVISAR,true,true,201588000.00,90600762.62,0.4494,1573,0,2,90600762.62,
1,20211211,25,9,8,2,AV-2025-001129,6-191382,2026-03,CRC,Actualización de garantía,2021-12-11,REVISAR,true,true,39000000.00,28016371.66,0.7184,1571,0,2,28016371.66,
1,20211212,26,3,6,2,AV-2025-003273,1-824668,2026-03,CRC,Contable,2021-12-12,REVISAR,true,false,892439000.00,,,1570,0,1,,
1,20211213,9,9,6,2,AV-2025-003639,3-508601,2026-03,CRC,Actualización de garantía,2021-12-13,REVISAR,true,true,146269000.00,90459684.18,0.6184,1569,0,1,90459684.18,
1,20211213,22,1,4,2,AV-2025-003662,7-565828-300,2026-03,USD,Garantía hipotecaria,2021-12-13,REVISAR,true,true,302209.00,217679.84,0.7203,1569,0,1,111016718.39999999,
1,20211213,34,3,9,2,AV-2025-000099,1-144025,2026-03,USD,Leasing,2021-12-13,REVISAR,true,true,1286128.00,819796.71,0.6374,1569,0,1,418096322.09999996,
1,20211218,1,1,4,2,AV-2024-001750,2-218485-214,2026-03,USD,Actualización de garantía,2021-12-18,REVISAR,true,true,345354.00,215009.40,0.6226,1564,0,1,109654794.0,
1,20211218,18,3,3,2,AV-2025-000631,4-855040,2026-03,CRC,Garantía hipotecaria,2021-12-18,REVISAR,true,true,660010000.00,502390757.43,0.7612,1564,0,1,502390757.43,
1,20211218,27,9,6,2,AV-2026-001778,1-649769,2026-03,USD,Contable,2021-12-18,REVISAR,true,false,208417.00,,,1564,0,1,,
1,20211218,30,3,3,2,AV-2025-002934,1-450726,2026-03,CRC,Contable,2021-12-18,REVISAR,true,false,519512000.00,,,1564,0,1,,
1,20211221,21,8,6,2,AV-2025-000542,7-757614,2026-03,CRC,Garantía hipotecaria,2021-12-21,REVISAR,true,true,5336661000.00,4273784440.16,0.8008,1561,0,1,4273784440.16,
1,20211221,26,7,9,2,AV-2025-000516,1-452356,2026-03,CRC,Garantía hipotecaria,2021-12-21,REVISAR,true,true,931669000.00,640189203.54,0.6871,1561,0,1,640189203.54,
1,20211223,4,7,8,3,AV-2026-000899,2-222345,2026-03,CRC,Seguro,2021-12-23,NO_CONFIABLE,true,false,345730000.00,,,1559,1,1,,
1,20211223,29,3,3,2,AV-2025-003278,1-284165,2026-03,CRC,Leasing,2021-12-23,REVISAR,true,true,676906000.00,557227135.82,0.8232,1559,0,1,557227135.82,
1,20211224,34,5,2,2,AV-2025-000563,1-621519,2026-03,USD,Leasing,2021-12-24,REVISAR,true,true,21469562.00,13787921.04,0.6422,1558,0,1,7031839730.4,
1,20211226,1,4,3,2,AV-2025-000251,2-611205-092,2026-03,USD,Seguro,2021-12-26,REVISAR,true,false,649653.00,,,1556,0,1,,
1,20211228,16,3,7,2,AV-2024-002517,4-812171,2026-03,USD,Leasing,2021-12-28,REVISAR,true,true,415140.00,217022.07,0.5228,1554,0,1,110681255.7,
1,20220104,17,3,3,2,AV-2024-003148,4-471647,2026-03,USD,Actualización de garantía,2022-01-04,REVISAR,true,true,292816.00,226640.17,0.774,1547,0,1,115586486.7,
