sk_corte,sk_regla,sk_fecha_valor,sk_geografia,sk_tipologia,sk_perito,sk_confiabilidad,id_avaluo,numero_finca,corte,rule_id,accion,campo,valor_observado,condicion_esperada,incidencias
1,1,20250522,2,6,9,3,AV-2025-002218,2-566980,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-002218,único dentro del corte,1
1,1,20250610,8,7,5,3,AV-2025-001190,3-668289,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-001190,único dentro del corte,1
1,1,20250626,18,9,7,3,AV-2025-003169,4-518560,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003169,único dentro del corte,1
1,1,20250725,22,1,6,3,AV-2025-003120,7-329132-271,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003120,único dentro del corte,1
1,1,20250807,15,3,1,3,AV-2025-003674,4-435948,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003674,único dentro del corte,1
1,1,20250812,22,4,2,3,AV-2025-003877,7-184159-353,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003877,único dentro del corte,1
1,1,20250930,32,6,1,3,AV-2025-002218,1-961616,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-002218,único dentro del corte,1
1,1,20251001,7,1,1,3,AV-2025-003863,3-845024-209,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003863,único dentro del corte,1
1,1,20251026,30,1,6,3,AV-2025-003877,1-132633-295,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003877,único dentro del corte,1
1,1,20251108,24,3,3,3,AV-2025-000039,6-628672,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-000039,único dentro del corte,1
1,1,20251120,6,6,3,3,AV-2025-001280,2-658401,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-001280,único dentro del corte,1
1,1,20251218,15,7,2,3,AV-2025-002380,4-560285,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-002380,único dentro del corte,1
1,1,20260119,33,4,6,3,AV-2025-003120,1-103812-265,2026-03,R-01,BLOQUEA,id_avaluo,AV-2025-003120,único dentro del corte,1
1,1,20260201,23,4,7,3,AV-2026-001499,6-165763-035,2026-03,R-01,BLOQUEA,id_avaluo,AV-2026-001499,único dentro del corte,1
1,1,20260204,1,1,6,3,AV-2026-001146,2-411462-006,2026-03,R-01,BLOQUEA,id_avaluo,AV-2026-001146,único dentro del corte,1
1,2,20210620,26,1,-1,3,AV-2024-001382,1-274699-276,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20210928,7,1,-1,3,AV-2025-000263,3-886145-031,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20220420,20,3,7,3,AV-2024-001172,7-235979,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20220615,19,8,3,3,AV-2024-001246,4-437498,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20220814,35,5,1,3,AV-2024-000859,1-972708,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20220914,32,2,9,3,AV-2025-003071,1-335481,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20220927,31,3,9,3,AV-2025-002738,N/A,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20221020,14,9,3,3,AV-2025-000311,5-916031,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20221030,28,3,-1,3,AV-2024-002491,1-908149,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20221114,17,3,3,3,AV-2025-002263, ,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20221115,28,5,3,3,AV-2025-000013,1-306654,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20230202,1,1,3,3,AV-2026-000277,2-865208-020,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20230428,11,1,3,3,AV-2024-001078,5-552439-014,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20230521,27,9,4,3,AV-2025-000901,1-664663,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20230615,8,1,3,3,AV-2024-001528,3-936713-082,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20230723,6,3,1,3,AV-2025-003274,2-756146,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20230823,34,3,6,3,AV-2026-000391,1-238512,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20231123,4,8,3,3,AV-2025-000551,2-648388,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20240105,11,9,-1,3,AV-2025-003025,5-197240,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20240216,31,3,8,3,AV-2026-002918,N/A,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20240220,17,4,1,3,AV-2024-003198,N/A,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20240421,15,3,7,3,AV-2024-002620,4-526166,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20240501,11,3,6,3,AV-2024-002555,5-561048,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20240513,8,7,5,3,AV-2024-001931,3-447521,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20240711,10,3,9,3,AV-2024-001707,3-565384,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20240713,7,4,6,3,AV-2024-002923,3-883865-218,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20240810,16,3,1,3,AV-2024-001788, ,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20240811,24,7,7,3,AV-2024-003137,6-983218,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20240921,14,4,3,3,AV-2024-002496,5-817397-173,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20240921,29,9,3,3,AV-2024-001455,,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20241027,10,3,4,3,AV-2024-000428,N/A,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20241105,29,3,1,3,AV-2024-001721,1-504655,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20241107,23,4,-1,3,AV-2024-002855,6-679919-255,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20241127,32,9,3,3,AV-2024-002119,1-283422,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20241217,6,8,-1,3,AV-2024-000595,2-809436,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20241227,16,4,7,3,AV-2024-001128,4-553914-225,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20241228,23,9,3,3,AV-2024-000875,N/A,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20250105,13,9,7,3,AV-2025-003489,5-345427,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20250128,35,3,9,3,AV-2025-001692,1-779422,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20250205,9,3,3,3,AV-2025-002974,3-896859,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20250213,15,5,3,3,AV-2025-000547,4-708216,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20250214,24,8,7,3,AV-2025-002153,,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20250228,3,7,3,3,AV-2025-000532,2-524720,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20250310,14,4,3,3,AV-2025-001713,5-132618-283,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20250316,27,3,6,3,AV-2025-000331,N/A,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20250401,9,3,4,3,AV-2025-001940,3-685982,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20250403,16,3,2,3,AV-2025-002279,N/A,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20250430,23,9,6,3,AV-2025-001600,6-246565,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20250523,14,9,-1,3,AV-2025-001945,5-930129,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20250526,22,3,4,3,AV-2025-003356,7-971953,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20250616,15,3,-1,3,AV-2025-003538,4-160398,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20250626,29,7,3,3,AV-2025-002200,1-499379,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20250701,9,3,3,3,AV-2025-001497,3-147141,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20250703,35,3,2,3,AV-2025-002261,1-640503,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20250704,35,1,3,3,AV-2025-000772,1-503805-202,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20250705,20,7,3,3,AV-2025-002323,7-334684,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20250706,3,3,-1,3,AV-2025-001023,2-412553,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20250709,11,9,3,3,AV-2025-000674,5-171321,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20250712,20,3,3,3,AV-2025-000698, ,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20250713,29,1,1,3,AV-2025-000025,1-893139-085,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20250714,3,7,3,3,AV-2025-000146,2-866303,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20250717,29,9,7,3,AV-2025-001238,1-580785,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20250723,18,3,6,3,AV-2025-000116,4-714528,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20250731,19,6,-1,3,AV-2025-002141,4-325069,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20250801,29,7,6,3,AV-2025-003628, ,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20250807,15,3,3,3,AV-2025-001111,4-662026,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20250901,8,3,8,3,AV-2025-000755,3-668687,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20250907,5,6,-1,3,AV-2025-003808,2-869841,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20250918,4,3,-1,3,AV-2025-000750,2-312022,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20250926,34,3,9,3,AV-2025-002536,1-808425,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20250928,1,3,7,3,AV-2025-000028,N/A,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20251017,23,9,7,3,AV-2025-001028,6-340949,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20251023,12,9,4,3,AV-2025-000355, ,2026-03,R-02,BLOQUEA,numero_finca,ausente,campo informado,1
1,2,20251101,25,3,7,3,AV-2025-001346,6-539047,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20251103,30,7,7,3,AV-2025-000984,1-216155,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20251104,12,7,3,3,AV-2025-003461,5-806968,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20251107,11,1,1,3,AV-2025-003226,5-103368-126,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20251111,35,1,3,3,AV-2025-003406,1-846716-108,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20251116,13,9,-1,3,AV-2025-002167,5-279460,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20251120,30,1,-1,3,AV-2025-002238,1-567629-245,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20251122,2,6,3,3,AV-2025-003178,2-168849,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20251215,13,3,5,3,AV-2025-002358,5-562409,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20251218,32,9,3,3,AV-2025-002544,1-468659,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20251228,8,3,7,3,AV-2025-003637,3-639763,2026-03,R-02,BLOQUEA,valor_unitario_construccion_m2,ausente,campo informado,1
1,2,20251228,13,7,7,3,AV-2025-000022,5-720329,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20260103,18,2,8,3,AV-2026-003535,4-661166,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20260110,5,3,9,3,AV-2026-003745,2-201949,2026-03,R-02,BLOQUEA,valor_obras_complementarias,ausente,campo informado,1
1,2,20260118,27,3,-1,3,AV-2026-003374,1-200666,2026-03,R-02,BLOQUEA,perito_id,ausente,campo informado,1
1,2,20260203,6,8,7,3,AV-2026-002006,2-378619,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,2,20260207,17,3,7,3,AV-2026-002203,4-527252,2026-03,R-02,BLOQUEA,fecha_informe,ausente,campo informado,1
1,3,20210426,12,3,3,3,AV-2025-003048,5-909649,2026-03,R-03,BLOQUEA,valor_total_inmueble,253302000,211940562.9,1
1,3,20210713,1,1,3,3,AV-2025-003609,2-901163-013,2026-03,R-03,BLOQUEA,valor_total_inmueble,207899,188979.51,1
1,3,20220312,8,7,5,3,AV-2025-001909,3-860299,2026-03,R-03,BLOQUEA,valor_total_inmueble,1009530000,945277827.71,1
1,3,20220319,14,4,7,3,AV-2024-003445,5-692242-165,2026-03,R-03,BLOQUEA,valor_total_inmueble,351917,325587.47,1
1,3,20220609,8,1,6,3,AV-2024-003096,3-943365-237,2026-03,R-03,BLOQUEA,valor_total_inmueble,157943,168302.14,1
1,3,20221022,7,3,7,3,AV-2025-003493,3-948010,2026-03,R-03,BLOQUEA,valor_total_inmueble,619208000,691783453.38,1
1,3,20221105,26,2,4,3,AV-2026-002007,1-815678,2026-03,R-03,BLOQUEA,valor_total_inmueble,14800539,13845376.96,1
1,3,20221129,28,2,9,3,AV-2025-002217,1-233970,2026-03,R-03,BLOQUEA,valor_total_inmueble,7895721000,5129751841.47,1
1,3,20221231,9,1,3,3,AV-2024-003916,3-648997-265,2026-03,R-03,BLOQUEA,valor_total_inmueble,104546,96248.37,1
1,3,20230110,15,2,3,3,AV-2025-003629,4-213201,2026-03,R-03,BLOQUEA,valor_total_inmueble,19846101,15959137.92,1
1,3,20230131,22,1,5,3,AV-2025-001986,7-538525-331,2026-03,R-03,BLOQUEA,valor_total_inmueble,82095000,96991021.63,1
1,3,20230201,26,3,7,3,AV-2025-003116,1-436513,2026-03,R-03,BLOQUEA,valor_total_inmueble,723985,798207.44,1
1,3,20231126,17,3,1,3,AV-2026-000585,4-282676,2026-03,R-03,BLOQUEA,valor_total_inmueble,161046000,142946944.81,1
1,3,20240506,19,3,3,3,AV-2024-002973,4-741279,2026-03,R-03,BLOQUEA,valor_total_inmueble,207242000,184672855.76,1
1,3,20240514,17,4,7,3,AV-2024-001401,4-663522-391,2026-03,R-03,BLOQUEA,valor_total_inmueble,401142,479743.33,1
1,3,20240612,25,9,3,3,AV-2024-003276,6-657112,2026-03,R-03,BLOQUEA,valor_total_inmueble,181491000,153908929.93,1
1,3,20240618,16,1,5,3,AV-2024-000851,4-254662-125,2026-03,R-03,BLOQUEA,valor_total_inmueble,87724000,93371217.29,1
1,3,20240703,34,2,3,3,AV-2024-001603,1-634343,2026-03,R-03,BLOQUEA,valor_total_inmueble,8453252,5970776.2,1
1,3,20240728,7,3,3,3,AV-2024-000856,3-319185,2026-03,R-03,BLOQUEA,valor_total_inmueble,416988000,347547082.22,1
1,3,20240728,34,3,7,3,AV-2024-001983,1-964968,2026-03,R-03,BLOQUEA,valor_total_inmueble,439817000,418907376.04,1
1,3,20240805,16,1,2,3,AV-2024-000111,4-341659-124,2026-03,R-03,BLOQUEA,valor_total_inmueble,266827000,258024034.85,1
1,3,20240811,27,1,4,3,AV-2024-003448,1-400433-186,2026-03,R-03,BLOQUEA,valor_total_inmueble,927661,107516.06,1
1,3,20240921,6,8,7,3,AV-2024-003086,2-935775,2026-03,R-03,BLOQUEA,valor_total_inmueble,2427774000,2958692625.44,1
1,3,20241015,28,3,7,3,AV-2024-000408,1-313118,2026-03,R-03,BLOQUEA,valor_total_inmueble,1285001000,1019626896.57,1
1,3,20241026,17,9,7,3,AV-2024-002335,4-925160,2026-03,R-03,BLOQUEA,valor_total_inmueble,275663000,263768581.84,1
1,3,20241027,28,9,7,3,AV-2024-003573,1-731891,2026-03,R-03,BLOQUEA,valor_total_inmueble,209529000,181119265.3,1
1,3,20241027,31,8,1,3,AV-2024-001607,1-704060,2026-03,R-03,BLOQUEA,valor_total_inmueble,956099000,839171100.51,1
1,3,20241029,26,2,1,3,AV-2024-003731,1-812803,2026-03,R-03,BLOQUEA,valor_total_inmueble,12923898,11332102.12,1
1,3,20241103,19,6,3,3,AV-2024-000942,4-487506,2026-03,R-03,BLOQUEA,valor_total_inmueble,21999042000,19487869401.52,1
1,3,20241112,30,1,7,3,AV-2024-002651,1-383764-021,2026-03,R-03,BLOQUEA,valor_total_inmueble,120807000,125771031.72,1
1,3,20241120,14,3,1,3,AV-2024-001892,5-296339,2026-03,R-03,BLOQUEA,valor_total_inmueble,363160000,405669332.18,1
1,3,20241128,1,1,6,3,AV-2024-003435,2-805658-258,2026-03,R-03,BLOQUEA,valor_total_inmueble,281133,253791.74,1
1,3,20241229,8,3,3,3,AV-2024-001587,3-567720,2026-03,R-03,BLOQUEA,valor_total_inmueble,205826000,250718062.51,1
1,3,20250112,9,3,7,3,AV-2025-001155,3-823241,2026-03,R-03,BLOQUEA,valor_total_inmueble,130583000,95176420.1,1
1,3,20250122,19,3,3,3,AV-2025-001420,4-436816,2026-03,R-03,BLOQUEA,valor_total_inmueble,173853000,145628890.56,1
1,3,20250202,13,3,3,3,AV-2025-002220,5-241812,2026-03,R-03,BLOQUEA,valor_total_inmueble,237490000,213612538.14,1
1,3,20250227,19,6,9,3,AV-2025-001091,4-887319,2026-03,R-03,BLOQUEA,valor_total_inmueble,2462608000,2303115459.97,1
1,3,20250303,8,9,3,3,AV-2025-002784,3-671308,2026-03,R-03,BLOQUEA,valor_total_inmueble,56421000,64108824.58,1
1,3,20250307,1,3,3,3,AV-2025-001847,2-499361,2026-03,R-03,BLOQUEA,valor_total_inmueble,729973000,426229738.49,1
1,3,20250312,30,9,3,3,AV-2025-002416,1-336085,2026-03,R-03,BLOQUEA,valor_total_inmueble,476621000,518402291.3,1
1,3,20250401,14,4,7,3,AV-2025-003005,5-666540-179,2026-03,R-03,BLOQUEA,valor_total_inmueble,288528,308803.22,1
1,3,20250410,27,9,4,3,AV-2025-002782,1-662821,2026-03,R-03,BLOQUEA,valor_total_inmueble,55266000,115553568.23,1
1,3,20250414,29,3,1,3,AV-2025-002397,1-249275,2026-03,R-03,BLOQUEA,valor_total_inmueble,208734000,191948134.47,1
1,3,20250418,27,2,3,3,AV-2025-001024,1-211134,2026-03,R-03,BLOQUEA,valor_total_inmueble,11486854,13018500.23,1
1,3,20250420,30,4,8,3,AV-2025-000001,1-206214-301,2026-03,R-03,BLOQUEA,valor_total_inmueble,363482,432253.31,1
1,3,20250421,9,9,3,3,AV-2025-000731,3-990268,2026-03,R-03,BLOQUEA,valor_total_inmueble,181948000,190743491.9,1
1,3,20250421,11,3,3,3,AV-2025-001392,5-202269,2026-03,R-03,BLOQUEA,valor_total_inmueble,713917,627056.69,1
1,3,20250427,18,9,3,3,AV-2025-003540,4-111535,2026-03,R-03,BLOQUEA,valor_total_inmueble,127494000,180604827.69,1
1,3,20250429,9,2,9,3,AV-2025-002787,3-930535,2026-03,R-03,BLOQUEA,valor_total_inmueble,1670262,1928945.54,1
1,3,20250514,8,1,3,3,AV-2025-001106,3-691295-159,2026-03,R-03,BLOQUEA,valor_total_inmueble,101594,19635.1,1
1,3,20250514,17,3,4,3,AV-2025-002852,4-630715,2026-03,R-03,BLOQUEA,valor_total_inmueble,642284000,773513580.53,1
1,3,20250519,17,2,3,3,AV-2025-002044,4-562255,2026-03,R-03,BLOQUEA,valor_total_inmueble,6647525,7759857.88,1
1,3,20250522,24,3,3,3,AV-2025-003016,6-795311,2026-03,R-03,BLOQUEA,valor_total_inmueble,140242,147692.34,1
1,3,20250523,29,3,3,3,AV-2025-001535,1-317129,2026-03,R-03,BLOQUEA,valor_total_inmueble,1160923000,982847135.65,1
1,3,20250527,23,3,3,3,AV-2025-000246,6-334908,2026-03,R-03,BLOQUEA,valor_total_inmueble,703726000,868240926.95,1
1,3,20250528,34,4,3,3,AV-2025-000524,1-588780-136,2026-03,R-03,BLOQUEA,valor_total_inmueble,856152,352081.78,1
1,3,20250531,8,3,9,3,AV-2025-000448,3-349012,2026-03,R-03,BLOQUEA,valor_total_inmueble,371154,317766.66,1
1,3,20250531,12,3,3,3,AV-2025-002737,5-651932,2026-03,R-03,BLOQUEA,valor_total_inmueble,503076000,611189268.39,1
1,3,20250605,16,5,1,3,AV-2025-003401,4-408512,2026-03,R-03,BLOQUEA,valor_total_inmueble,4761327000,4040600732.49,1
1,3,20250610,3,7,8,3,AV-2025-000456,2-515003,2026-03,R-03,BLOQUEA,valor_total_inmueble,4607581000,4277005738.33,1
1,3,20250611,23,9,5,3,AV-2025-000363,6-171347,2026-03,R-03,BLOQUEA,valor_total_inmueble,528486,596038.65,1
1,3,20250614,7,7,9,3,AV-2025-001375,3-933266,2026-03,R-03,BLOQUEA,valor_total_inmueble,1916466000,1744112532.67,1
1,3,20250617,27,9,3,3,AV-2025-000705,1-553173,2026-03,R-03,BLOQUEA,valor_total_inmueble,369304000,405928766.09,1
1,3,20250620,22,8,3,3,AV-2025-000800,7-946546,2026-03,R-03,BLOQUEA,valor_total_inmueble,1143879000,1240909694.52,1
1,3,20250622,9,3,1,3,AV-2025-003205,3-376753,2026-03,R-03,BLOQUEA,valor_total_inmueble,222976000,192504930.0,1
1,3,20250702,2,9,7,3,AV-2025-001823,2-195242,2026-03,R-03,BLOQUEA,valor_total_inmueble,9034000,10074101.34,1
1,3,20250702,7,3,3,3,AV-2025-003598,3-699580,2026-03,R-03,BLOQUEA,valor_total_inmueble,342639,378045.57,1
1,3,20250703,17,3,6,3,AV-2025-003750,4-215814,2026-03,R-03,BLOQUEA,valor_total_inmueble,190282000,181749534.07,1
1,3,20250706,29,3,9,3,AV-2025-001976,1-149040,2026-03,R-03,BLOQUEA,valor_total_inmueble,733582000,785177319.29,1
